subject,start,end,time,target
s0,2468.818,2473.27,4.452,wb
s0,2473.27,2474.088,0.818,s2
s0,2474.088,2483.246,9.158,wb
s0,2483.246,2484.098,0.852,exp
s0,2484.098,2495.808,11.71,wb
s0,2668.287,2669.85,1.563,tool
s0,2669.85,2671.783,1.933,wb
s0,2671.783,2673.014,1.231,s1
s1,2469.129,2473.363,4.234,
s1,2473.363,2476.687,3.324,s2
s1,2476.687,2479.037,2.35,wb
s1,2479.037,2487.375,8.338,wb
s1,2487.375,2494.098,6.723,
s1,2494.098,2495.996,1.898,wb
s1,2668.517,2674.822,6.305,tool
s1,2674.822,2676.606,1.784,s3
s2,2469.107,2471.164,2.057,tool
s2,2471.164,2473.006,1.842,wb
s2,2473.006,2474.865,1.859,tool
s2,2474.865,2478.15,3.285,wb
s2,2478.15,2484.318,6.168,
s2,2484.318,2491.483,7.165,tool
s2,2491.483,2494.26,2.777,wb
s3,2469.065,2472.637,3.572,wb
s3,2472.637,2474.058,1.421,tool
s3,2474.058,2496.846,22.788,wb
