subject,start,end,time,target
s0,49.9,84.869,34.969,s3
s0,84.869,93.869,9,s1
s0,93.869,103.242,9.373,wb
s0,103.242,108.242,5,tool
s0,108.242,118.242,10,s1
s0,118.242,127.242,9,wb
s0,127.242,134.242,7,tool
s0,134.242,159.242,25,tool
s0,159.242,172.242,13,wb
s0,172.242,177.242,5,tool
s0,177.242,181.242,4,s2
s0,181.242,182.658,1.416,tool
s0,1819.8,1872.2,52.4,wb
s1,49.9,66,16.1,tool
s1,66,68,2,s4
s1,68,69.2,1.2,s3
s1,69.2,82,12.8,tool
s1,82,117,35,tool
s1,117,146.5,29.5,wb
s1,146.5,154.8,8.3,tool
s1,154.8,159.7,4.9,wb
s1,159.7,163.6,3.9,s4
s1,163.6,167.2,3.6,wb
s1,167.2,175.9,8.7,tool
s1,175.9,182.4,6.5,s0
s1,1819.6,1820.6,1,tool
s1,1820.6,1823.6,3,wb
s1,1823.6,1825.6,2,s3
s1,1825.6,1845.6,20,wb
s1,1845.6,1847.6,2,tool
s1,1847.6,1850.6,3,wb
s1,1850.6,1853.6,3,tool
s1,1853.6,1856.6,3,wb
s1,1856.6,1857.6,1,s3
s1,1857.6,1862.6,5,s3
s1,1862.6,1863.6,1,wb
s1,1863.6,1872.6,9,tool
s2,49.912,52.721,2.809,s4
s2,52.721,67.721,15,tool
s2,67.721,69.721,2,s3
s2,69.721,76.721,7,tool
s2,76.721,80.721,4,s1
s2,80.721,85.721,5,s1
s2,85.721,91.721,6,s1
s2,91.721,97.721,6,wb
s2,97.721,116.721,19,tool
s2,116.721,118.721,2,wb
s2,118.721,122.721,4,tool
s2,122.721,138.721,16,wb
s2,138.721,140.721,2,tool
s2,140.721,164.721,24,wb
s2,164.721,173.721,9,s4
s2,173.721,182.721,9,wb
s2,1819.728,1827.725,7.997,tool
s2,1827.725,1829.725,2,wb
s2,1829.725,1831.725,2,tool
s2,1831.725,1832.725,1,wb
s2,1832.725,1835.725,3,tool
s2,1835.725,1837.725,2,wb
s2,1837.725,1842.725,5,wb
s2,1842.725,1843.725,1,tool
s2,1843.725,1847.725,4,wb
s2,1847.725,1849.725,2,tool
s2,1849.725,1850.725,1,s3
s2,1850.725,1851.725,1,wb
s2,1851.725,1853.725,2,tool
s2,1853.725,1857.725,4,wb
s2,1857.725,1858.725,1,tool
s2,1858.725,1861.725,3,wb
s2,1861.725,1867.725,6,tool
s2,1867.725,1868.725,1,wb
s2,1868.725,1869.725,1,tool
s2,1869.725,1871.725,2,wb
s3,50.1,68,17.9,tool
s3,68,69,1,s1
s3,69,75,6,tool
s3,75,78.9,3.9,s1
s3,78.9,85.1,6.2,tool
s3,85.1,88.1,3,s1
s3,88.1,89,0.9,wb
s3,89,92.1,3.1,tool
s3,92.1,96.1,4,wb
s3,96.1,140.1,44,tool
s3,140.1,142.1,2,wb
s3,142.1,175,32.9,tool
s3,175,179,4,wb
s3,179,180.9,1.9,tool
s3,180.9,182,1.1,wb
s3,1819.7,1820.6,0.9,s2
s3,1820.6,1823,2.4,wb
s3,1823,1824,1,s1
s3,1824,1825,1,tool
s3,1825,1829,4,s1
s3,1829,1840,11,wb
s3,1840,1842,2,tool
s3,1842,1846,4,wb
s3,1846,1848,2,tool
s3,1848,1851,3,wb
s3,1851,1853,2,tool
s3,1853,1856,3,wb
s3,1856,1862,6,tool
s3,1862,1872,10,wb
s4,49.999,56.314,6.315,tool
s4,56.314,61.314,5,s2
s4,61.314,65.314,4,tool
s4,65.314,80.314,15,s3
s4,80.314,85.314,5,tool
s4,85.314,90.314,5,s1
s4,90.314,99.314,9,wb
s4,99.314,118.314,19,tool
s4,118.314,138.314,20,wb
s4,138.314,146.314,8,tool
s4,146.314,148.314,2,wb
s4,148.314,156.314,8,tool
s4,156.314,164.314,8,tool
s4,164.314,165.314,1,wb
s4,165.314,174.314,9,tool
s4,174.314,179.314,5,wb
s4,179.314,182.471,3.157,tool
s4,1819.6,1821.6,2,s2
s4,1821.6,1824.6,3,s3
s4,1824.6,1825.6,1,wb
s4,1825.6,1832.6,7,s3
s4,1832.6,1846.6,14,wb
s4,1846.6,1863.6,17,tool
s4,1863.6,1872.6,9,wb
