subject,start,end,time,target
s1,863,872.033,9.033,s1
s1,872.38,876.746,4.366,s1
s1,877.125,879.125,2,s1
s1,879.353,883.919,4.566,wb
s1,884.159,889.166,5.007,tool
s1,889.677,893.799,4.122,s2
s1,894.161,924.414,30.253,wb
s1,1145.8,1147.561,1.761,s2
s1,1147.851,1157.49,9.639,tool
s1,1157.742,1158.844,1.102,s2
s1,1159.356,1165.722,6.366,wb
s1,1166.274,1192.282,26.008,s2
s2,862.88,865.83,2.95,wb
s2,866.171,867.683,1.512,tool
s2,869.281,880.415,11.134,s1
s2,881.564,883.752,2.188,wb
s2,884.055,889.748,5.693,tool
s2,893.47,910.174,16.704,wb
s2,910.494,924.475,13.981,tool
s2,1146.02,1158.527,12.507,tool
s2,1158.84,1161.885,3.045,wb
s2,1162.536,1174.326,11.79,tool
s2,1174.69,1181.248,6.558,s1
s2,1181.597,1194.218,12.621,s3
s3,864.554,873.956,9.402,wb
s3,874.233,877.296,3.063,s2
s3,877.519,879.454,1.935,wb
s3,879.813,881.415,1.602,s1
s3,881.786,924.581,42.795,wb
