subject,start,end,time,target
s0,1180.46,1190.14,9.68,wb
s0,1190.14,1191.786,1.646,tool
s0,1191.786,1203.75,11.964,wb
s1,1180.47,1183.288,2.818,wb
s1,1183.288,1186.365,3.077,tool
s1,1186.365,1190.753,4.388,s3
s1,1190.753,1203.444,12.691,wb
s2,1180.519,1203.603,23.084,wb
s3,1180.46,1186.815,6.355,wb
s3,1186.815,1189.879,3.064,s0
s3,1189.879,1202.362,12.483,wb
s3,1202.362,1203.749,1.387,tool
s0,2468.818,2473.27,4.452,wb
s0,2473.27,2474.088,0.818,s2
s0,2474.088,2483.246,9.158,wb
s0,2483.246,2484.098,0.852,exp
s0,2484.098,2495.808,11.71,wb
s0,2668.287,2669.85,1.563,tool
s0,2669.85,2671.783,1.933,wb
s0,2671.783,2673.014,1.231,s1
s1,2473.363,2476.687,3.324,s2
s1,2476.687,2479.037,2.35,wb
s1,2479.037,2487.375,8.338,wb
s1,2494.098,2495.996,1.898,wb
s1,2668.517,2674.822,6.305,tool
s1,2674.822,2676.606,1.784,s3
s2,2469.107,2471.164,2.057,tool
s2,2471.164,2473.006,1.842,wb
s2,2473.006,2474.865,1.859,tool
s2,2474.865,2478.15,3.285,wb
s2,2484.318,2491.483,7.165,tool
s2,2491.483,2494.26,2.777,wb
s3,2469.065,2472.637,3.572,wb
s3,2472.637,2474.058,1.421,tool
s3,2474.058,2496.846,22.788,wb
