subject,start,end,time,target
s0,810.026,813.756,3.73,wb
s0,813.756,817.663,3.907,s2
s0,817.663,818.533,0.87,tool
s0,818.533,826.63,8.097,wb
s0,826.63,827.925,1.295,s2
s0,827.925,828.755,0.83,tool
s0,828.755,829.416,0.661,wb
s0,829.416,829.786,0.37,s3
s0,829.786,831.236,1.45,tool
s0,1252.92,1255.66,2.74,tool
s0,1255.67,1260.85,5.18,s1
s0,1260.85,1267.69,6.84,wb
s1,809.999,812.069,2.07,wb
s1,812.069,812.949,0.88,tool
s1,812.949,814.109,1.16,wb
s1,814.109,823.209,9.1,s2
s1,823.209,824.449,1.24,tool
s1,824.449,825.409,0.96,wb
s1,825.409,827.529,2.12,s2
s1,827.529,830.639,3.11,tool
s1,830.639,831.279,0.64,s2
s1,1252.93,1267.69,14.76,wb
s2,810.031,810.551,0.52,wb
s2,810.551,813.161,2.61,s1
s2,813.161,813.891,0.73,wb
s2,813.891,814.931,1.04,tool
s2,814.931,816.251,1.32,wb
s2,816.251,818.831,2.58,tool
s2,818.831,819.931,1.1,s1
s2,819.931,831.291,11.36,tool
s2,1252.95,1259.04,6.09,s1
s2,1259.04,1260.86,1.82,wb
s2,1260.86,1267.7,6.84,tool
s3,810.001,812.671,2.67,tool
s3,812.671,815.571,2.9,wb
s3,815.571,817.001,1.43,tool
s3,817.001,826.951,9.95,wb
s3,826.951,828.561,1.61,s0
s3,828.561,829.971,1.41,wb
s3,829.971,831.291,1.32,tool
s3,1252.95,1261.32,8.37,s1
s3,1261.32,1267.74,6.42,wb
