subject,start,end,time,target
s0,2188.868,2201.528,12.66,wb
s0,2201.528,2209.783,8.255,tool
s0,2209.783,2215.928,6.145,wb
s0,2215.928,2230.488,14.56,s3
s0,2230.488,2253.161,22.673,tool
s1,2188.85,2194.351,5.501,wb
s1,2194.351,2198.95,4.599,wb
s1,2198.95,2199.77,0.82,s3
s1,2199.77,2202.14,2.37,wb
s1,2202.16,2205.36,3.2,tool
s1,2205.37,2206.43,1.06,s3
s1,2206.43,2208.46,2.03,wb
s1,2208.46,2210.4,1.94,tool
s1,2210.4,2211.42,1.02,wb
s1,2211.42,2216.355,4.935,s3
s1,2216.355,2218.435,2.08,tool
s1,2218.435,2219.635,1.2,s3
s1,2219.635,2222.28,2.645,tool
s1,2222.28,2222.78,0.5,s3
s1,2222.78,2224.92,2.14,wb
s1,2224.92,2225.49,0.57,s3
s1,2225.49,2228.321,2.831,wb
s1,2228.321,2232.003,3.682,s3
s1,2232.003,2235.838,3.835,s0
s1,2235.838,2236.39,0.552,wb
s1,2236.4,2241.5,5.1,s0
s1,2241.5,2243.766,2.266,wb
s1,2243.766,2249.53,5.764,s0
s1,2249.536,2250.273,0.737,tool
s1,2250.273,2253.161,2.888,s0
s3,2188.788,2192.37,3.582,wb
s3,2192.37,2195.768,3.398,tool
s3,2195.768,2202.193,6.425,wb
s3,2202.193,2202.705,0.512,tool
s3,2202.705,2203.108,0.403,s0
s3,2203.108,2206.345,3.237,tool
s3,2206.345,2208.151,1.806,wb
s3,2208.151,2210.865,2.714,tool
s3,2210.865,2212.08,1.215,s0
s3,2212.08,2215.783,3.703,wb
s3,2215.783,2222.336,6.553,tool
s3,2222.336,2229.52,7.184,wb
s3,2229.52,2241.298,11.778,tool
s3,2241.298,2246.418,5.12,wb
s3,2246.418,2249.485,3.067,tool
s3,2249.485,2251.26,1.775,wb
s3,2251.26,2253.355,2.095,tool
