subject,start,end,time,target
s0,145,145.87,0.87,tool
s0,145.87,153.756,7.886,s2
s0,153.756,155.239,1.483,s3
s0,155.239,155.76,0.521,tool
s0,155.76,157.79,2.03,s1
s0,157.79,160.879,3.089,s3
s0,160.879,163.25,2.371,tool
s0,163.25,163.75,0.5,s1
s0,163.75,166.33,2.58,tool
s0,166.33,169.622,3.292,s1
s0,169.622,169.874,0.252,s2
s0,169.874,171.729,1.855,s3
s0,171.729,172.07,0.341,tool
s0,172.07,177.13,5.06,wb
s0,177.13,178.7,1.57,s3
s0,178.7,179.99,1.29,tool
s0,2429.87,2440.038,10.168,wb
s0,2440.038,2441.815,1.777,tool
s0,2441.815,2442.92,1.105,s1
s0,2442.92,2450.549,7.629,wb
s0,2450.549,2458.11,7.561,tool
s0,2458.11,2464.609,6.499,wb
s0,2464.609,2467.153,2.544,s3
s0,2467.153,2468.063,0.91,s3
s0,2468.063,2469.525,1.462,tool
s0,2469.525,2475.728,6.203,wb
s0,2475.728,2477.529,1.801,wb
s0,2477.529,2478.972,1.443,tool
s0,2478.972,2482.564,3.592,tool
s0,2482.564,2485.988,3.424,tool
s0,2485.988,2489.078,3.09,tool
s0,2489.078,2489.545,0.467,s3
s0,2489.545,2490.604,1.059,s2
s0,2490.604,2492.656,2.052,s2
s0,2492.656,2493.789,1.133,tool
s0,2493.789,2495.933,2.144,tool
s0,2495.933,2497.154,1.221,s2
s0,2497.154,2500.675,3.521,exp
s0,2500.675,2501.985,1.31,exp
s0,2501.985,2504.153,2.168,tool
s0,2504.153,2505.383,1.23,tool
s0,2505.383,2507.977,2.594,exp
s0,2507.977,2511.071,3.094,wb
s0,2511.071,2512.04,0.969,s1
s0,2512.04,2512.951,0.911,s1
s0,2512.951,2514.74,1.789,wb
s0,2514.74,2515.631,0.891,wb
s0,2515.631,2518.416,2.785,wb
s0,2518.416,2520,1.584,wb
s1,145,152.806,7.806,s2
s1,152.806,163.108,10.302,s3
s1,163.108,176.793,13.685,tool
s1,176.793,177.89,1.097,s2
s1,177.89,178.43,0.54,wb
s1,178.43,179.13,0.7,s3
s1,179.13,180,0.87,tool
s1,2429.86,2432.857,2.997,wb
s1,2432.857,2433.97,1.113,tool
s1,2433.97,2453.885,19.915,wb
s1,2453.885,2456.76,2.875,tool
s1,2456.76,2463.827,7.067,wb
s1,2463.827,2467.073,3.246,tool
s1,2467.073,2471.57,4.497,wb
s1,2471.57,2472.164,0.594,tool
s1,2472.164,2472.73,0.566,wb
s1,2472.73,2478.394,5.664,wb
s1,2478.394,2480.373,1.979,s0
s1,2480.373,2481.846,1.473,tool
s1,2481.846,2484.811,2.965,s0
s1,2484.811,2489.852,5.041,s0
s1,2489.852,2491.257,1.405,tool
s1,2491.257,2493.063,1.806,tool
s1,2493.063,2496.475,3.412,tool
s1,2496.475,2498.025,1.55,wb
s1,2498.025,2502.09,4.065,tool
s1,2502.09,2504.434,2.344,tool
s1,2504.434,2509.264,4.83,wb
s1,2509.264,2512.318,3.054,tool
s1,2512.318,2522.29,9.972,wb
s2,145.003,146.99,1.987,s0
s2,146.99,149.819,2.829,s1
s2,149.819,150.63,0.811,s0
s2,150.63,151.016,0.386,s0
s2,151.016,152.766,1.75,s1
s2,152.766,153.433,0.667,s3
s2,153.433,153.984,0.551,s1
s2,153.984,154.831,0.847,tool
s2,154.831,155.158,0.327,s1
s2,155.158,157.026,1.868,s3
s2,157.026,158.942,1.916,tool
s2,158.942,159.705,0.763,s3
s2,159.705,166.028,6.323,tool
s2,166.028,167.347,1.319,s0
s2,167.347,168.01,0.663,s3
s2,168.01,168.91,0.9,wb
s2,168.91,170.337,1.427,s3
s2,170.337,174.484,4.147,tool
s2,174.484,175.189,0.705,wb
s2,175.189,175.494,0.305,s3
s2,175.494,176.705,1.211,wb
s2,176.705,177.263,0.558,s3
s2,177.263,177.705,0.442,wb
s2,177.705,179.99,2.285,s0
s2,2429.86,2434.452,4.592,wb
s2,2434.452,2437.266,2.814,tool
s2,2437.266,2438.572,1.306,tool
s2,2438.572,2438.852,0.28,tool
s2,2438.852,2443.481,4.629,tool
s2,2443.481,2446.375,2.894,wb
s2,2446.375,2446.822,0.447,wb
s2,2446.822,2449.011,2.189,wb
s2,2449.011,2479.353,30.342,tool
s2,2479.353,2481.87,2.517,wb
s2,2481.87,2487.592,5.722,tool
s2,2487.592,2488.425,0.833,wb
s2,2488.425,2489.928,1.503,s0
s2,2489.928,2490.172,0.244,s0
s2,2490.172,2493.357,3.185,wb
s2,2493.357,2494.476,1.119,s3
s2,2494.476,2495.928,1.452,wb
s2,2495.928,2499.076,3.148,tool
s2,2499.076,2500.302,1.226,wb
s2,2500.302,2501.867,1.565,s0
s2,2501.867,2502.698,0.831,s0
