subject,start,end,time,target
s0,332.94,333.974,1.034,wb
s0,334.179,335.201,1.022,wb
s0,335.365,335.609,0.244,tool
s0,337.337,337.489,0.152,wb
s0,338.654,338.789,0.135,s2
s0,338.942,344.37,5.428,s1
s0,345.107,345.978,0.871,wb
s0,346.159,347.063,0.904,tool
s0,347.199,347.743,0.544,wb
s0,348.41,353.118,4.708,wb
s0,353.962,362.109,8.147,s2
s0,362.252,364.928,2.676,wb
s0,365.078,367.228,2.15,tool
s0,367.375,372.563,5.188,s2
s0,372.705,373.579,0.874,s2
s0,373.734,382.83,9.096,s2
s0,382.989,386.421,3.432,tool
s0,386.568,390.48,3.912,s2
s0,390.62,394.024,3.404,s0
s0,394.167,398.671,4.504,tool
s0,398.822,401.712,2.89,wb
s0,401.859,403.937,2.078,s2
s0,404.077,406.309,2.232,tool
s0,406.473,409.222,2.749,wb
s0,409.431,411.465,2.034,s2
s0,411.626,429.95,18.324,wb
s0,430.342,434,3.658,wb
s0,434.143,442.04,7.897,s2
s1,332.94,342.754,9.814,tool
s1,342.76,343.44,0.68,s0
s1,343.44,442.07,98.63,tool
s2,332.95,335.479,2.529,wb
s2,335.646,337.253,1.607,s0
s2,337.411,356.86,19.449,wb
s2,356.89,360.05,3.16,s2
s2,360.11,370.1,9.99,wb
s2,370.316,372.69,2.374,wb
s2,372.845,392.964,20.119,s0
s2,393.146,394.334,1.188,tool
s2,394.494,429.9,35.406,wb
s2,429.998,434.248,4.25,s0
s2,434.3,438.783,4.483,wb
s2,438.912,441.93,3.018,s0
s3,333,334.99,1.99,tool
s3,334.99,338.03,3.04,s0
s3,338.03,368.05,30.02,tool
s3,368.05,372,3.95,s0
s3,372,377.11,5.11,wb
s3,377.11,378.93,1.82,tool
s3,378.93,416,37.07,tool
s3,416.05,442.04,25.99,wb
