subject,start,end,time,target
s0,1057.101,1060.271,3.17,s3
s0,1060.271,1065.874,5.603,s1
s0,1065.874,1069.009,3.135,tool
s0,1069.009,1074.054,5.045,wb
s0,1074.054,1078.073,4.019,s1
s0,1078.073,1083.449,5.376,wb
s0,1083.449,1085.169,1.72,s1
s0,1085.169,1089.64,4.471,s3
s0,1089.64,1130.103,40.463,wb
s0,1130.103,1132.141,2.038,s1
s0,1132.141,1140.287,8.146,wb
s0,1509,1515.17,6.17,wb
s0,1515.17,1516.995,1.825,exp
s0,1516.995,1532.89,15.895,wb
s0,1532.89,1538.815,5.925,exp
s0,1538.815,1542.293,3.478,wb
s0,1542.293,1549.668,7.375,tool
s0,1549.668,1551.876,2.208,wb
s0,1551.876,1568.876,17,tool
s0,1568.876,1629,60.124,wb
s1,1057.224,1059.802,2.578,s3
s1,1059.802,1064.733,4.931,wb
s1,1064.733,1069.13,4.397,tool
s1,1069.13,1073.541,4.411,tool
s1,1073.541,1074.468,0.927,wb
s1,1074.468,1084.878,10.41,tool
s1,1084.878,1086.302,1.424,wb
s1,1086.302,1089.728,3.426,tool
s1,1089.728,1140.365,50.637,wb
s1,1509,1509.42,0.42,tool
s1,1509.42,1509.96,0.54,wb
s1,1509.96,1510.65,0.69,exp
s1,1510.65,1510.99,0.34,wb
s1,1510.99,1511.32,0.33,tool
s1,1511.32,1512.01,0.69,wb
s1,1512.01,1512.806,0.796,exp
s1,1512.806,1514.436,1.63,wb
s1,1514.436,1515.365,0.929,s3
s1,1515.365,1515.911,0.546,s0
s1,1515.911,1516.95,1.039,exp
s1,1516.95,1526.96,10.01,wb
s1,1526.96,1530.918,3.958,tool
s1,1530.918,1534.168,3.25,wb
s1,1534.168,1536.751,2.583,exp
s1,1536.751,1540.501,3.75,wb
s1,1540.501,1543.921,3.42,tool
s1,1543.921,1545.293,1.372,wb
s1,1545.293,1552.035,6.742,tool
s1,1552.035,1552.793,0.758,s0
s1,1552.793,1555.486,2.693,tool
s1,1555.486,1556.293,0.807,s0
s1,1556.293,1568.751,12.458,wb
s1,1568.751,1571.075,2.324,exp
s1,1571.075,1629.001,57.926,wb
s2,1057.003,1058.707,1.704,wb
s2,1058.707,1068.401,9.694,tool
s2,1068.401,1070.334,1.933,wb
s2,1070.334,1071.271,0.937,tool
s2,1071.271,1075.186,3.915,wb
s2,1075.186,1076.937,1.751,s1
s2,1076.937,1081.37,4.433,s0
s2,1081.37,1113.27,31.9,wb
s2,1113.27,1118.11,4.84,s1
s2,1118.11,1129.629,11.519,wb
s2,1129.629,1133.809,4.18,s1
s2,1133.809,1140.365,6.556,wb
s2,1509,1518.975,9.975,wb
s2,1518.975,1520.825,1.85,tool
s2,1520.825,1544.585,23.76,wb
s2,1544.585,1551.501,6.916,tool
s2,1551.501,1552.495,0.994,s3
s2,1552.495,1554.085,1.59,tool
s2,1554.085,1554.535,0.45,exp
s2,1554.535,1569.251,14.716,wb
s2,1569.251,1571.293,2.042,exp
s2,1571.293,1572.32,1.027,tool
s2,1572.32,1629.001,56.681,wb
s3,1056.452,1061.068,4.616,tool
s3,1061.068,1063.405,2.337,wb
s3,1063.405,1067.77,4.365,s1
s3,1067.77,1072.237,4.467,s1
s3,1072.237,1077.598,5.361,wb
s3,1077.598,1084.272,6.674,wb
s3,1084.272,1088.296,4.024,wb
s3,1088.296,1099.317,11.021,wb
s3,1099.317,1101.411,2.094,tool
s3,1101.411,1104.78,3.369,wb
s3,1104.78,1107.42,2.64,tool
s3,1107.42,1109.697,2.277,wb
s3,1109.697,1114.678,4.981,s1
s3,1114.678,1140.261,25.583,wb
s3,1509,1514.126,5.126,wb
s3,1514.126,1516.501,2.375,exp
s3,1516.501,1531.861,15.36,wb
s3,1531.861,1538.54,6.679,exp
s3,1538.54,1544.07,5.53,wb
s3,1544.07,1550.668,6.598,tool
s3,1550.668,1550.92,0.252,wb
s3,1550.92,1552.2,1.28,tool
s3,1552.2,1566.745,14.545,wb
s3,1566.745,1567.793,1.048,tool
s3,1567.793,1570.38,2.587,exp
s3,1570.38,1629,58.62,wb
