tStart,time,subject
0,8.95,s3
8.96,4.04,s0
13,8.109,s3
21.109,9.904,s0
31.013,13.189,
44.202,5.307,s0
49.509,4.667,s0
54.176,5.427,
59.603,4.069,s0
63.672,5.344,s0
69.016,6.745,s0
75.761,4.017,s1
79.778,13.092,
92.88,9.575,s0
102.46,62.626,
165.086,5.806,s0
170.892,5.324,s3
176.216,3.562,s2
179.778,5.451,s3
185.229,2.271,
187.51,12.016,s0
199.526,7.639,s0
207.165,6.112,s3
213.277,17.724,s0
231.001,4.992,
235.993,2.284,s3
238.277,8.44,s0
246.717,3.263,s3
249.98,8.419,s2
258.399,7.708,s2
266.107,6.893,
273,2.354,s0
275.354,6.953,
282.307,5.214,s2
287.521,8.791,s0
296.312,7.316,s0
303.628,8.353,s0
311.981,7.213,s0
319.194,3.393,s0
322.587,6.428,
329.015,12.258,s0
341.273,3.034,
344.307,14.07,s0
358.377,4.161,s2
362.538,8.802,
371.34,4.522,
375.862,2.176,
378.038,6.73,s3
384.768,4.008,s1
388.776,39.092,
427.868,5.63,
433.498,9.437,s0
442.935,2.183,s3
445.118,13.188,s0
458.306,7.885,s0
466.191,10.653,s3
476.844,5.475,
482.319,9.417,s0
491.736,3.971,
495.707,3.517,s0
499.224,5.268,
504.492,9.722,s0
514.214,4.38,s1
518.594,5.148,s1
523.742,4.31,s1
528.052,6.158,s0
534.21,2.308,
536.518,4.058,s3
540.576,3.761,s2
544.337,8.315,s1
552.652,4.697,s1
557.349,7.679,s0
565.028,4.956,
569.984,2.813,s3
572.797,2.629,
575.426,6.692,s0
582.118,10.392,s0
592.51,6.036,
598.546,5.076,s1
603.622,2.489,
606.111,2.376,s0
608.487,14.1,s3
625.021,2.918,s3
627.939,8.592,s0
636.531,10.457,
646.988,5.402,s0
652.39,13.057,s0
665.447,2.192,
667.639,10.807,s0
678.446,5.254,s2
683.7,8.525,
692.225,8.706,s2
700.931,4.464,s1
705.395,6.088,s3
711.483,15.355,s3
726.838,11.882,s3
738.72,10.791,s3
749.511,11.761,s3
761.272,3.906,s3
765.178,6.776,s3
771.954,7.43,s3
779.384,7.063,s0
786.447,13.104,s0
799.551,5.062,
804.613,4.41,s3
809.023,9.718,
818.741,3.144,s3
821.885,14.822,
836.707,9.131,
845.838,5.323,
851.161,5.879,
857.04,13.99,s3
871.03,5.633,s3
876.663,11.431,s3
888.094,22.861,s3
910.955,17.391,s0
928.346,30.209,s3
958.555,8,s2
966.555,4.818,s2
992.295,5.389,s1
997.684,9.77,
1007.454,9.331,s3
1016.785,7.103,s3
1023.888,8.736,s3
1032.624,17.311,s1
1049.935,5.88,
1055.815,9.555,s1
1065.37,7.962,s1
1073.332,12.122,s2
1085.454,12.899,s2
1098.353,2.94,s2
1101.293,3.429,
1104.722,21.23,s2
1125.952,7.921,s2
1133.873,3.675,s2
1137.548,10.685,s1
1148.233,32.443,s0
1180.676,3.348,s0
1184.024,19.719,s3
1203.743,4.162,s0
1207.905,5.879,s0
1213.784,4.164,
1217.948,6.613,s0
1224.561,5.144,s3
1229.705,11.432,s2
1241.137,12.654,s3
1253.791,18.861,s2
1272.652,33.313,
1305.965,14.779,s0
1320.744,9.879,
1330.623,9.049,s2
1339.672,6.546,
1346.218,9.31,s0
1355.528,7.595,
1363.123,16.144,s2
1379.267,15.946,s0
1395.213,10.452,s3
1405.665,8.644,s3
1414.309,10.089,s3
1424.398,9.026,s3
1433.424,8.534,
1441.958,16.685,s3
1458.643,7.268,s3
1465.911,3.92,s0
1469.831,16.169,
1486,7.105,s0
1500.453,5.143,s0
1505.596,12.705,s2
1518.301,3.135,s2
1521.436,7.756,s2
1529.192,11.513,
1540.705,5.062,s0
1545.767,21.229,s3
1566.996,15.183,s0
1582.179,3.675,
1585.854,5.388,s0
1591.242,2.94,
1594.182,10.94,s1
1605.122,14.967,s1
1620.089,6.614,s0
1626.703,13.228,s0
1639.931,15.225,s0
1655.156,8.9,s2
1664.056,13.13,s3
1677.186,13.31,s3
1690.496,15.761,s0
1706.257,6.288,
1712.545,9.227,s0
1721.772,17.229,s0
1739.001,6.94,s0
1745.941,4.866,
1750.807,4.361,
1755.168,7.103,s0
1762.271,7.644,
1769.915,19.841,s1
1789.756,15.514,s1
1805.27,5.307,s0
1810.577,23.659,s3
1834.236,8.817,s2
1843.053,8.774,s2
1851.827,14.536,s3
1866.363,14.007,s3
1880.37,12.362,s0
1892.732,7.614,s0
1900.346,9.877,s0
1910.223,5.886,s1
1916.109,3.593,s0
1919.702,12.984,s1
1932.686,11.188,s0
1943.874,11.187,s0
1955.061,2.767,
1957.828,32.251,s3
1990.079,6.346,s3
1996.425,11.452,s0
2007.877,7.104,s0
2014.981,14.416,s0
2029.397,9.715,s0
2039.112,4.408,s0
2043.52,6.859,s0
2050.379,6.531,s0
2056.91,10.749,s0
2067.659,9.342,s0
2077.001,2.693,s0
2079.694,12.247,s2
2091.941,19.025,s0
2110.966,11.758,s0
2122.724,9.062,s2
2131.786,4.875,s0
2136.661,6.393,s0
2143.054,11.944,s1
2154.998,8.901,s0
2163.899,12.574,s0
2176.473,9.253,s0
2185.726,8.004,s1
2193.73,8.493,s0
2202.223,6.858,s2
2209.081,7.105,s1
2216.186,7.349,s1
2223.535,5.878,s0
2229.413,8.489,s0
2237.902,2.857,
2240.759,3.428,s2
2244.187,17.126,s2
2261.313,13.06,s0
2274.373,5.305,
2279.678,12.493,s3
2292.171,11.674,s1
2303.845,7.983,
2311.828,5.803,s1
2317.631,8.607,s3
2326.238,13.882,s3
2340.12,7.512,s3
2347.632,5.306,s2
2352.938,16.195,s0
2369.133,5.635,s0
2374.768,4.816,
2379.584,14.582,s0
2394.166,8.574,s3
2402.74,4.163,s2
2406.903,5.062,
2411.965,4.861,s3
2416.826,15.139,s3
2431.965,3.241,s2
2435.206,11.922,s0
2447.128,8.692,
2455.82,6.132,s0
2461.952,6.927,s1
2468.879,15.784,s0
2484.663,8.733,s0
2493.396,11.271,s0
2504.667,14.376,s0
2519.043,4.655,s0
2523.698,3.909,s0
2527.607,5.399,s3
2533.006,14.372,s0
2547.378,12.248,s2
2559.626,8.084,
2567.71,7.258,
2574.968,4.899,s2
2579.867,8.471,s2
2588.338,19.295,s2
2607.633,18.861,s1
2626.494,8.571,s2
2635.065,4.162,s0
2639.227,5.145,s3
2644.372,6.989,s2
2651.361,2.94,s0
2654.301,3.674,s0
2657.975,8.802,s0
2666.777,5.879,s2
2672.656,10.044,s3
2682.7,6.122,
2688.822,3.673,
2692.495,8.738,
2701.233,2.694,
2703.927,8.281,s2
