role,x,y,size,shape
None,6.772971644,6.572309065,4.73723664,square
None,8.677379058,7.123048448,2.182660715,square
None,7.753032007,5.123189719,2.506864372,square
None,7.380664079,8.501748375,2.919703432,square
None,7.151700304,7.212535662,1.41911664,square
None,7.529237142,7.009307715,1.707600679,square
None,10.65778728,9.139600234,5.037864219,square
None,7.431723786,7.208552216,1.564999653,square
Time,8.929272329,7.858735729,2.903486267,square
Leader,6.876556705,4.289038215,0.462235301,square
Search,8.692253485,6.135070479,2.991826479,square
Organize,7.416478876,7.555026316,1.165458071,square
Leader,6.837290029,7.64819159,3.627305245,square
Organize,4.61140114,6.213208459,3.301762667,square
Time,7.204431783,6.851981469,1.669602523,square
Search,9.329035924,5.28336406,2.851832042,square
Time,8.166703468,8.439070091,2.772711316,square
Search,9.244198622,4.900581686,4.007006749,square
Organize,6.750875364,6.738050618,0.890970431,square
Leader,5.627045326,6.06541582,0.462493197,square
None,7.774148001,5.803252572,2.290147988,square
None,9.216150275,7.276569215,3.324474155,square
None,8.502347495,3.751820907,5.363752288,square
None,8.480433486,4.946880941,2.464276572,square
None,8.095906383,5.162442609,2.481437189,square
None,6.548621475,4.294170789,4.489126277,square
None,7.049948995,6.100692431,0.943725252,square
None,8.82091945,7.22205228,4.041015955,square
None,7.5071963,7.307289815,2.804445432,square
None,7.36022794,6.892357576,1.874451355,square
None,9.120822958,10.29183307,4.964131407,square
None,7.381819276,7.174693766,1.613837562,square
Time,8.449332737,9.314667008,2.169893183,square
Leader,8.35028258,5.698618588,1.500502349,square
Search,8.584390363,6.601830333,2.615509043,square
Organize,5.630834534,4.451285045,3.94612387,square
Leader,8.002792223,5.380763032,2.57225151,square
Organize,5.973967604,4.655467631,3.772149591,square
Time,7.91967004,5.888868321,2.272702952,square
Search,9.627273912,4.396692229,3.529533407,square
Time,8.87796871,5.424912017,4.962972562,square
Search,8.696841806,5.398897008,3.751195867,square
Organize,8.817874238,5.694643022,3.458288414,square
Leader,6.548468249,5.444180785,0.559369937,square
None,7.134622935,6.72110441,1.776957858,square
None,9.282238793,6.820745321,3.509478158,square
None,8.136107336,7.551589221,2.220283993,square
None,8.409324309,5.564629721,1.575037095,square
None,8.292727425,3.372639179,3.446454747,square
None,0.779017537,3.866175236,9.207481354,square
None,5.052793282,5.319009871,2.757618071,square
None,7.039247932,4.312626224,3.594281028,square
None,5.118880957,6.454277954,5.777736576,square
None,7.159305146,7.439700739,5.107976286,square
None,7.796204658,7.095746919,3.915883628,square
None,9.823368838,9.07680548,5.725738593,square
None,7.12168549,6.727089902,2.110075996,square
Time,8.280065202,7.921701742,2.971053422,square
Leader,6.858168346,4.686346331,0.549200889,square
Search,7.648541757,5.719753056,3.757756688,square
Organize,5.222391046,6.319256078,2.683936837,square
Leader,8.227031964,5.731493447,2.062277724,square
Organize,3.878017854,5.611029024,3.67439067,square
Time,7.550197676,7.005172482,1.418687987,square
Search,9.55892428,2.812590419,1.810484009,square
Time,7.96797024,7.114388549,3.786548807,square
Search,9.817578807,4.241101668,4.015141977,square
Organize,6.750875364,6.738050618,0.890970431,square
Leader,7.197965235,4.964726249,0.587311796,square
None,7.609230731,4.922233635,3.074894444,square
None,9.099717848,6.387121246,4.420152588,square
None,8.076154892,2.432888327,6.085928861,square
None,6.772680472,6.078120038,2.047260399,square
None,12.2194283,0.532160405,4.013058145,square
