role,x,y,size,shape
None,0.097560976,1.052631579,190,square
None,0,1,196,square
None,0.024390244,0.105263158,59,square
None,1.243902439,0,1196,square
None,1.073170732,0,695,square
None,0,0.052631579,6,square
None,1.097560976,0.052631579,426,square
None,0,0,1,square
Time,1,0.052631579,660,square
Leader,1.048780488,0,12,square
Search,1,0.210526316,17,square
Organize,1,0,1076,square
Leader,0.317073171,1,57,square
Organize,0.536585366,0.263157895,398,square
Time,0.024390244,1,26,square
Search,0,1.210526316,15,square
Time,1.12195122,0.052631579,1243,square
Search,0,1.631578947,18,square
Organize,0,0,0,square
Leader,1.170731707,0.157894737,1775,square
None,1,0.157894737,54,square
None,1,0.210526316,692,square
None,1.195121951,1,1043,square
None,0,0.263157895,222,square
None,1.097560976,0.473684211,2039,square
None,0.024390244,0.473684211,200,square
None,1,0,14,square
None,0,0.421052632,1115,square
None,0.048780488,0.052631579,166,square
None,0,0.052631579,21,square
None,1.268292683,0.105263158,2086,square
None,0,0,6,square
Time,1,0,1977,square
Leader,0,1,7,square
Search,1,0.105263158,6,square
Organize,1.43902439,0.210526316,483,square
Leader,1,0.263157895,21,square
Organize,1.268292683,0.052631579,1027,square
Time,0,1.263157895,10,square
Search,0,1.421052632,21,square
Time,1.048780488,0.473684211,386,square
Search,0,1.421052632,128,square
Organize,0,1.421052632,20,square
Leader,1,0.157894737,900,square
None,1.048780488,0,375,square
None,1,0.157894737,22,square
None,1.024390244,0.105263158,1028,square
None,1,0,351,square
None,1.048780488,0.368421053,81,square
None,0.414634146,1,625,square
None,0.073170732,0.105263158,196,square
None,0,0.210526316,471,square
None,0.43902439,0.315789474,988,square
None,0.195121951,1,148,square
None,0.048780488,1.052631579,112,square
None,0.048780488,0,110,square
None,0,0.052631579,42,square
Time,1.12195122,0,489,square
Leader,0,0.052631579,14,square
Search,1,0.157894737,130,square
Organize,1.365853659,0.052631579,465,square
Leader,1.12195122,0,1133,square
Organize,2,0.157894737,3321,square
Time,0,1,7,square
Search,1.073170732,0.052631579,735,square
Time,1.268292683,0.157894737,1217,square
Search,0,1.105263158,941,square
Organize,0,0,0,square
Leader,1.341463415,0,3795,square
None,1.097560976,0.368421053,39,square
None,0,0.421052632,220,square
None,1.658536585,0.684210526,2503,square
None,0.195121951,0,458,square
None,1.097560976,0.368421053,1883,square
