tStart,time,subject
7.64,3.02,s0
10.66,3.11,s3
13.77,3.23,s2
17.88,3.4,s2
21.28,6.38,s0
31.52,5.08,s1
36.6,1.13,s0
38.96,2.8,s0
42.19,9.15,s1
51.34,1.66,s0
55.3,0.66,s0
55.96,1.7,s2
57.66,2.36,s0
61.32,1.96,s0
65.53,0.67,s3
67.54,0.62,s0
68.16,1.71,s0
69.87,1.68,s2
73.2,1.25,s0
74.45,5.71,s2
83.22,1.93,s0
85.85,3.61,s1
89.46,2.21,s0
91.67,1.15,s2
92.82,0.92,s1
93.74,2.44,s2
99.46,1.83,s0
101.29,1.93,s1
103.22,1.48,s0
111.94,5.5,s3
121.13,10.16,s3
131.29,6.07,s1
137.36,2.85,s2
147.51,7.92,s2
155.43,3.49,s0
158.92,1.18,s1
160.1,0.36,s2
160.46,6.5,s0
168.02,3.84,s1
175.21,1.7,s1
181.53,4.78,s2
188.44,3.66,s2
192.1,3.61,s0
198.04,2.22,s2
200.26,1.89,s0
202.67,0.4,s2
203.07,1.45,s0
231.29,7.15,s1
238.44,1.02,s0
239.46,1.38,s1
240.84,8.21,s0
249.05,4.73,s2
256.66,6.36,s2
263.02,5.42,s0
268.44,2.64,s0
271.08,1.53,s0
272.61,0.63,s2
273.24,1.51,s0
274.75,2.25,s2
281.56,0.42,s0
281.98,2.04,s2
286.62,2.3,s2
290.55,2.86,s0
295.08,3.07,s1
298.15,2.09,s2
300.24,6.7,s2
309.11,6,s2
316.76,1.64,s1
318.4,1.18,s2
319.58,0.64,s1
320.22,1.18,s1
321.4,8.13,s1
329.53,3.59,s2
333.12,4.76,s0
337.88,0.64,s1
339.96,2.08,s1
342.04,0.32,s0
342.36,4,s0
346.36,3.03,s2
349.39,0.69,s0
350.08,1.92,s0
353.19,1.09,s0
356.52,0.29,s2
357.21,1.71,s0
360.56,5.92,s2
366.48,5.25,s0
371.73,4.61,s2
376.34,2.95,s0
382.19,5.27,s0
387.46,2.71,s2
392.12,2.9,s2
396.18,0.86,s2
397.55,0.44,s2
398.84,2.58,s0
402.48,0.92,s2
404.01,5.62,s0
410.92,2.96,s0
413.88,0.48,s0
415.06,0.6,s2
416.42,0.83,s2
419.2,2.58,s2
424.76,3.61,s2
428.96,5.7,s0
438.34,2.79,s2
442.2,1.14,s0
443.34,3.81,s1
447.15,1.02,s2
448.17,2.42,s2
451.33,4.46,s2
455.79,0.72,s0
457.32,1.7,s0
459.53,4.14,s2
464.76,1.62,s1
466.38,7.51,s1
474.25,4.35,s1
478.6,0.89,s2
479.49,4.07,s1
483.56,1.73,s1
486.7,3.4,s1
491.82,2.49,s1
495.51,5.19,s1
500.7,1.2,s1
503.26,3.1,s1
508.72,3.24,s1
512.91,2.53,s0
515.88,0.53,s3
516.41,1.79,s0
518.76,3.01,s0
524.92,2.78,s2
528.37,2.13,s2
531.12,4.48,s0
535.6,4.78,s0
541.8,6.09,s0
573.85,1.33,s1
577.3,4.82,s1
583.05,1.19,s1
584.99,0.78,s1
586.89,2.42,s0
589.93,1.85,s0
591.78,1.96,s0
593.74,0.72,s2
597.3,1.16,s2
603.28,0.81,s1
605.81,2.15,s1
610.03,1.45,s1
611.48,0.9,s2
613.09,3.05,s1
617.64,3.11,s1
628.84,0.8,s1
629.64,3.19,s2
632.83,1.59,s1
634.42,3.59,s1
640.59,0.95,s2
642.9,0.45,s0
646.38,2.99,s2
651.94,0.92,s1
653.49,1.2,s2
654.69,1.03,s1
655.72,0.78,s0
656.5,1.12,s1
657.62,2.58,s1
660.2,0.52,s2
660.72,0.33,s0
661.75,0.76,s2
662.51,1.12,s1
672.01,2.01,s2
679.38,1.96,s2
681.7,2.25,s0
683.95,2.85,s2
691.68,1.74,s0
695.25,1.67,s1
698.1,4.01,s0
702.11,1.19,s2
704.29,1.04,s2
705.33,1.75,s0
707.82,0.95,s1
711.09,2.56,s1
713.65,3.12,s2
716.77,1.68,s0
718.45,1.69,s2
721.37,0.34,s1
721.71,0.53,s2
722.79,0.46,s1
725.44,1.09,s0
726.53,4.54,s1
731.07,1.6,s2
733.48,0.8,s1
735.12,0.81,s2
737.41,1.77,s1
739.96,4.5,s1
747.13,0.97,s2
751.02,0.69,s0
751.71,1.16,s1
753.8,1,s1
754.8,4.7,s0
761.31,6.23,s1
769.14,0.42,s0
769.56,1.65,s2
771.21,0.91,s0
772.87,0.57,s0
789.08,0.72,s0
791.63,0.95,s1
792.58,1.44,s2
796.66,2.12,s0
799.88,6.16,s0
806.04,1.42,s1
807.46,1.04,s3
809.54,1.32,s0
811.62,0.42,s0
812.49,1.08,s2
814.09,3.13,s3
817.22,14.1,s0
832.02,0.43,s1
832.45,1.04,s0
834.92,1.48,s0
836.4,1.18,s2
838.5,1.02,s1
857.08,2.68,s1
860.61,1.54,s2
864.45,2.56,s0
868.32,1.05,s0
875.84,4.92,s0
907.3,0.66,s0
909.2,3.55,s1
915.02,0.62,s0
915.64,0.62,s2
916.66,1.36,s0
918.02,1.84,s2
919.86,2.3,s1
922.16,1.62,s1
923.78,0.35,s0
924.13,2.59,s1
928.29,1.61,s2
930.54,1.16,s0
932.36,6.42,s1
939.42,0.48,s2
939.9,1.04,s0
940.94,3.43,s2
945.48,1.68,s2
948.02,0.36,s0
949.63,1.37,s1
951,0.87,s2
953.84,3.42,s2
957.92,0.89,s2
959.41,0.34,s2
960.36,0.56,s1
960.92,0.76,s2
961.68,1.1,s1
964.5,2,s2
967.23,2.18,s1
970.63,0.47,s2
971.1,0.9,s0
972,0.76,s1
972.76,0.76,s2
973.52,7.44,s2
980.96,3.75,s1
984.71,1.25,s2
985.96,4.19,s1
990.15,1.53,s2
991.68,6.67,s1
998.35,0.53,s2
998.88,3.74,s1
1002.62,0.42,s2
1003.04,6.42,s1
1009.46,6.41,s2
1015.87,0.49,s1
1016.36,2.28,s2
1018.64,1.22,s1
1019.86,2.55,s2
1022.41,0.5,s1
1022.91,5.51,s2
1028.42,4.11,s0
1035.36,2.9,s1
1038.26,1.13,s1
1039.39,1.25,s1
1040.64,12.16,s0
1054.94,2.02,s0
1060.02,6.19,s2
1066.21,0.58,s0
1066.79,0.58,s2
1067.37,0.34,s0
1067.71,0.6,s2
1068.31,1.87,s1
1070.18,0.97,s0
