Temps de départ - msec	temps de fin - msec	Durée - msec	dialogue.all	dialogue.all.category	dialogue.all.subject
2756	5355	2599		task	
5355	7908	2553	So, hum...	task	s0
7908	15958	8050	now we are supposed to evaluate the power storage shortage in 2025	task	s0
15958	21415	5457	It is increasing	task	s3
21415	30851	9436	So we can maybe try with *** to get an estimation, maybe with wolfram alpha, we enter the figures and we see if hum...	task	s0
30851	34073	3222	if it is	task	s0
34073	36215	2142	Yes or maybe we	task	s0
36215	45223	9008	***	task	s1
45223	50500	5277	use wolfram to interpolate	task	s0
50500	54673	4173		task	s1
54673	57215	2542	Did you ***	tech	s3
82508	86740	4232	Are you are trying to calculate like, like mathematically there or	task	s3
86740	92905	6165	Yes it would be cool but I don't know if we have time or if we can just give a figure	task	s0
92905	97726	4821	We can just estimate	task	s1
97726	100356	2630	It would be something like 40	task	s0
100356	104543	4187	Hum no, not 40, much more	task	s0
104543	106960	2417	That's true	task	s3
128850	134953	6103	We agree that nowaday we have enough for the next 10 years	task	s3
134953	139150	4197	???	task	s1
139150	142950	3800		task	s1
142950	145090	2140	Hum...So...	task	s0
145090	154068	8978	So we can just say, ??? in four years, so...	task	s0
154068	155873	1805	?? Totally.	task	s3
164136	169025	4889	ok it is 30 times 2.5	task	s0
174240	180293	6053	I am just going to break it this way because ??? by now	task	s0
189661	192148	2487	75	task	s0
192148	197658	5510	We just say that it doubles every 2 years	task	s0
197658	200373	2715	OK? 	task	s0
200373	204943	4570	That doubles every... 	task	s3
204943	207985	3042	every 2 years yes. Is it ok for you or? 	task	s0
207985	213425	5440	???	task	s1
213425	220051	6626	Yes but the thing is that the popullation growth is not going to become like always going at the rate in China	task	s3
220051	223623	3572	Yes, that's true, Ok, so, 	task	s0
223623	230498	6875	If we just do a linear interpolation. So... hum..		s0
230498	233543	3045	Not linear but exponential	task	s0
233543	241336	7793	We apply 75 millions, but after we have to see that the population	task	s0
241336	249503	8167	is growing less than before but we have more use of industrial ressources	task	s0
249503	258108	8605	There will be less and less ???	task	s0
260536	263283	2747	More technology, so,	task	s0
263283	266223	2940	I think it can compensate	task	s0
266223	268876	2653	Ok see that it puts a value there	task	s3
268876	272555	3679	We can re-estimate it after longer	task	s3
272555	275316	2761	So, we keep the 75?	task	s0
275316	277700	2384	Yes that's Ok	task	s1
277700	282265	4565	It sounds good	task	s3
282265	289968	7703	s0: Are there estimates on the web? // s3 I found something but most of the reports, you have to pay for them.	task	s3
289968	291656	1688	OK...	task	s0
291656	296078	4422	So, yes we can just try to put that number and then we can continue	task	s3
296078	301171	5093	OK, anyway it is the time of the	task	s0
301171	305306	4135	time, so...	task	s0
305306	307156	1850	So we say 75? 	task	s1
307156	316245	9089	Now, we can just evaluate the different solutions	task	s0
316245	320210	3965	What is *** ?	task	s0
324200	329011	4811	Maybe eolienes in the sea, I don't know because ***	task	s3
334898	341600	6702	This is great! Ah ok!	task	s0
341600	344680	3080	Yes	task	s1
344680	348573	3893	But, wind farms isn't it the same? 	task	s0
348573	355198	6625	Ah it is hydro powered.	task	s0
355198	359498	4300	wow.	task	s1
359498	365070	5572	yes... yes...	task	s0
365070	367231	2161	Overthere	task	s3
367231	370966	3735	Well, we don't need to know that much.	task	s3
373020	379046	6026	We have to	task	s1
379046	383186	4140	there is nothing that ???	task	s1
383186	391391	8205	They have the power supply for 30 million kwats, so we have to make the plan to add 75 million kwats	task	s0
395098	400473	5375	We have to find 75 euh million kwats?	task	s1
400473	410600	10127	Yes...So the question is do we just create nuclear centrals or do we like diversify? 	task	s0
417521	425180	7659	So, how much do we need? we need like 45 thousand extra, right?	task	s3
425180	431401	6221	Hum.... 45 yes!	task	s0
431401	435613	4212	According to our hum prediction	task	s1
435613	443176	7563	Maybe our evaluation is not perfect because they say we will reach the saturation in 2016 so...	task	s0
443176	447283	4107	Well, we can reduce...	task	s1
447283	450145	2862	the 75	task	s1
450145	456616	6471	Yes but don't you  ????	task	s0
456616	460493	3877	As you wish but...	task	s0
463715	468740	5025	So, how do we do?	task	s0
468740	474950	6210	So, now we are supposed to do in the timestamp to discuss	task	s0
474950	481700	6750	what is the advantage and drowback	task	s0
481700	486985	5285	of each thing, So, the nuclear has a lot of energy	task	s0
488826	494490	5664	It is the most expensive and the less ecologic	task	s1
494490	507783	13293	Yes, so where do you see the *predict*? We are not considering the price for the benefit of the argument?	task	s3
507783	513186	5403	No, we are in china after all	task	s0
526725	534540	7815	The solar energy, it doesn't bring a lot of power and it is pretty expensive	task	s1
534540	537063	2523	It is really expensive	task	s0
537063	543876	6813	The price is the highest, so solar energy doesn't ssem to be a good solution	task	s0
543876	548470	4594	We have to find a tradeoff.	task	s0
548470	552186	3716	What?	task	s3
552186	555575	3389	Hydroelectric	task	s1
555575	560908	5333	The problem with hydroelectric is, the operation cost	task	s1
560908	568735	7827	We have to build them, it takes time	task	s0
568735	577436	8701	It takes time and sometimes you have to move the population	task	s1
584005	595140	11135	So after we have to see a few gaz or oil, it doesn't cost a lot to construct them	task	s0
595140	605180	10040	So, it can be a good solution but temporary due to environmental stuff	task	s0
605180	609470	4290	And try to...	task	s0
629311	633155	3844	So, hum	task	s0
633155	641255	8100	We are interested in hydroelectric and maybe windfarms.	task	s0
641255	643483	2228	Because t**** isn't that	task	s0
643483	648031	4548	you don't have a lot of capacity, like, nothing.	task	s0
648031	650018	1987	It costs a lot	task	s0
650018	651735	1717	per kilowats	task	s0
651735	658181	6446	and the operation cost is a lot and the price is not so cheap so...	task	s0
658181	660268	2087	it is not cool	task	s0
660268	671031	10763	But we can't do everything with hydroelectric so I think we can add some nuclear.	task	s0
671031	673201	2170	I think we can add nuclear because it is ***	task	s1
673201	686251	13050	Windfarms, do we consider them or do we neglect them, because costs are low	task	s0
686251	692823	6572	The price is very good, and in china they have big mountains	task	s1
693048	695806	2758	Yes	task	s0
695806	699160	3354	They have different places so, we can	task	s0
699160	701680	2520	find some very windy places	task	s0
701680	711508	9828	Are we actually going 25 eolienes? like extra or? 	task	s3
711508	713318	1810	we need 45 extra,	task	s0
713318	716566	3248	But we can decrease to 35.	task	s0
719838	724620	4782	So, we can	task	s1
724620	729411	4791	say which ones we absolutely don't want	task	s1
729411	732135	2724	Yes, we don't want the ??tidle	task	s0
732135	737433	5298	Maybe we can write this down on the screen	task	s0
737433	743543	6110	Hum...	task	s0
753116	759865	6749	???	task	s0
759865	762140	2275	So, the first one	task	s0
762140	767618	5478	Did you write or?	task	s3
767618	770533	2915	Solar energy, Yes I wrote on 	task	s0
770533	773998	3465	the right, maybe I have to escape. 	task	s0
773998	778246	4248	So, solar energy no.	task	s0
778246	782411	4165	*** doesn't seem a lot of kilowats	task	s1
782411	787588	5177	???	task	s1
787588	793220	5632	I don't really know if we do it ???? like we say	task	s3
793220	797780	4560	OK so, after we have somes that we don't want.	task	s0
797780	800860	3080	Because of the 	task	s0
800860	807121	6261	Because of the ecological impact, we don't want fossile fuel and the fossile gas.	task	s0
807121	809455	2334	We, that's for fuels	task	s3
809455	812053	2598	And the tidle because it's inefective. 	task	s3
812053	817136	5083	OK we made 4 categories	task	s0
817136	822140	5004	So now we have 3 left: nuclear, windfarm, hydroelectrix. This is our solution	task	s0
822140	835883	13743	And we can try to put certain percentage of, ... not many nuclear because I hear that right now they are trying to shut them down or something	task	s3
835883	840153	4270	Yes, because of the political impact	task	s0
840153	846363	6210	You know, nuclear can be a good solution for the	task	s0
846363	852793	6430	For the fast growth and after when we stabilize we can like replace	task	s0
852793	857216	4423	Yes you can replace but...	task	s1
857216	860040	2824	the problem is that it is still hot.	task	s1
860040	862041	2001	When you	task	s1
862041	874168	12127	build a nuclear plant you have an environmental impact	task	s1
874168	880216	6048	Why do we choose the nuclear if the hydroelectric has somehow the same capacity	task	s3
880216	886690	6474	Exactly, that's a good question but we have 10 minutes to discuss it, that's cool.	task	s0
886690	894473	7783	To see how we can manage this.	task	s0
894473	905511	11038	The solar energy, maybe it is cool to build this can of energy on the...	task	s1
909273	913870	4597	the....the...	task	s1
913870	919281	5411	on the roof of the company	task	s1
919281	927006	7725	Usually factories are big buildings and they have a flat roof	task	s1
927006	931616	4610	The solar energy is more	task	s0
931616	935410	3794	like, to, talk maybe	task	s0
935410	940638	5228	companies or people. Not for the government to rule.	task	s0
940638	946693	6055	I saw that they do this on paris, on the roof a factory	task	s1
946693	950703	4010	It produces electricity for the company	task	s1
950703	955600	4897	and if they have more they put this in the network	task	s1
958625	963806	5181	So, as in China they have a lot of factories	task	s1
963806	966845	3039	with big roof and...		s1
966845	970386	3541	Maybe we can...	task	s1
970386	979356	8970	It costs a lot, but if you have enough energy, you use it during 30 years.		s1
979356	983240	3884	Yes, and the operation cost is not so much.	task	s0
983240	992415	9175	The sell price is high, but as you keep it, companies don't sell it	task	s0
992415	995446	3031	it is cool for you because you sell it to governement	task	s0
995446	999923	4477	This process can be interesting	task	s0
999923	1005723	5800	It is a good a good idea only for the, if you build this on the roof	task	s1
1005723	1008391	2668	Not like farms, for solar energy	task	s0
1008391	1010055	1664	yes	task	s1
1010055	1012595	2540	Are you ok with that sergio?	task	s0
1012595	1013601	1006	I am ok, 	task	s3
1013601	1016188	2587	How much are you puting for solar?	task	s3
1016188	1020521	4333	The firt point is, if you	task	s0
1020521	1027065	6544	if you put it on buildings you can have a lot of them	task	s0
1027065	1031651	4586	it is not like a farm or something	task	s0
1031651	1033515	1864	there are a lot of buildings in China	task	s1
1033515	1040670	7155	Yes but we don't have the number of how much buildings is there	task	s3
1040670	1044483	3813	We have to be creative there but we don't know actually the...	task	s3
