tStart,time,subject
0,8950,s3,
8960,4040,s0,
13000,8109,s3,
21109,9904,s0,
31013,13189,,
44202,5307,s0,
49509,4667,s0,
54176,5427,,
59603,4069,s0,
63672,5344,s0,
69016,6745,s0,
75761,4017,s1,
79778,13092,,
92880,9575,s0,
102460,62626,,
165086,5806,s0,
170892,5324,s3,
176216,3562,s2,
179778,5451,s3,
185229,2271,,
187510,12016,s0,
199526,7639,s0,
207165,6112,s3,
213277,17724,s0,
231001,4992,,
235993,2284,s3,
238277,8440,s0,
246717,3263,s3,
249980,8419,s2,
258399,7708,s2,
266107,6893,,
273000,2354,s0,
275354,6953,,
282307,5214,s2,
287521,8791,s0,
296312,7316,s0,
303628,8353,s0,
311981,7213,s0,
319194,3393,s0,
322587,6428,,
329015,12258,s0,
341273,3034,,
344307,14070,s0,
358377,4161,s2,
362538,8802,,
371340,4522,,
375862,2176,,
378038,6730,s3,
384768,4008,s1,
388776,39092,,
427868,5630,,
433498,9437,s0,
442935,2183,s3,
445118,13188,s0,
458306,7885,s0,
466191,10653,s3,
476844,5475,,
482319,9417,s0,
491736,3971,,
495707,3517,s0,
499224,5268,,
504492,9722,s0,
514214,4380,s1,
518594,5148,s1,
523742,4310,s1,
528052,6158,s0,
534210,2308,,
536518,4058,s3,
540576,3761,s2,
544337,8315,s1,
552652,4697,s1,
557349,7679,s0,
565028,4956,,
569984,2813,s3,
572797,2629,,
575426,6692,s0,
582118,10392,s0,
592510,6036,,
598546,5076,s1,
603622,2489,,
606111,2376,s0,
608487,14100,s3,
622587,2434,,
625021,2918,s3,
627939,8592,s0,
636531,10457,,
646988,5402,s0,
652390,13057,s0,
665447,2192,,
667639,10807,s0,
678446,5254,s2,
683700,8525,,
692225,8706,s2,
700931,4464,s1,
705395,6088,s3,
711483,15355,s3,
726838,11882,s3,
738720,10791,s3,
749511,11761,s3,
761272,3906,s3,
765178,6776,s3,
771954,7430,s3,
779384,7063,s0,
786447,13104,s0,
799551,5062,,
804613,4410,s3,
809023,9718,,
818741,3144,s3,
821885,14822,,
836707,9131,,
845838,5323,,
851161,5879,,
857040,13990,s3,
871030,5633,s3,
876663,11431,s3,
888094,22861,s3,
910955,17391,s0,
928346,30209,s3,
958555,8000,s2,
966555,4818,s2,
971373,20922,,
992295,5389,s1,
997684,9770,,
1007454,9331,s3,
1016785,7103,s3,
1023888,8736,s3,
1032624,17311,s1,
1049935,5880,,
1055815,9555,s1,
1065370,7962,s1,
1073332,12122,s2,
1085454,12899,s2,
1098353,2940,s2,
1101293,3429,,
1104722,21230,s2,
1125952,7921,s2,
1133873,3675,s2,
1137548,10685,s1,
1148233,32443,s0,
1180676,3348,s0,
1184024,19719,s3,
1203743,4162,s0,
1207905,5879,s0,
1213784,4164,,
1217948,6613,s0,
1224561,5144,s3,
1229705,11432,s2,
1241137,12654,s3,
1253791,18861,s2,
1272652,33313,,
1305965,14779,s0,
1320744,9879,,
1330623,9049,s2,
1339672,6546,,
1346218,9310,s0,
1355528,7595,,
1363123,16144,s2,
1379267,15946,s0,
1395213,10452,s3,
1405665,8644,s3,
1414309,10089,s3,
1424398,9026,s3,
1433424,8534,,
1441958,16685,s3,
1458643,7268,s3,
1465911,3920,s0,
1469831,16169,,
1486000,7105,s0,
1493105,7348,,
1500453,5143,s0,
1505596,12705,s2,
1518301,3135,s2,
1521436,7756,org.wb,s2
1529192,11513,,
1540705,5062,s0,
1545767,21229,s3,
1566996,15183,task,s0
1582179,3675,,
1585854,5388,s0,
1591242,2940,,
1594182,10940,s1,
1605122,14967,s1,
1620089,6614,s0,
1626703,13228,s0,
1639931,15225,s0,
1655156,8900,s2,
1664056,13130,s3,
1677186,13310,s3,
1690496,15761,s0,
1706257,6288,,
1712545,9227,s0,
1721772,17229,s0,
1739001,6940,s0,
1745941,4866,,
1750807,4361,,
1755168,7103,s0,
1762271,7644,,
1769915,19841,s1,
1789756,15514,s1,
1805270,5307,s0,
1810577,23659,s3,
1834236,8817,s2,
1843053,8774,s2,
1851827,14536,s3,
1866363,14007,s3,
1880370,12362,s0,
1892732,7614,s0,
1900346,9877,s0,
1910223,5886,s1,
1916109,3593,s0,
1919702,12984,s1,
1932686,11188,s0,
1943874,11187,s0,
1955061,2767,,
1957828,32251,s3,
1990079,6346,s3,
1996425,11452,s0,
2007877,7104,task,s0
2014981,14416,s0,
2029397,9715,s0,
2039112,4408,s0,
2043520,6859,s0,
2050379,6531,s0,
2056910,10749,s0,
2067659,9342,s0,
2077001,2693,s0,
2079694,12247,s2,
2091941,19025,s0,
2110966,11758,s0,
2122724,9062,s2,
2131786,4875,s0,
2136661,6393,s0,
2143054,11944,s1,
2154998,8901,s0,
2163899,12574,s0,
2176473,9253,s0,
2185726,8004,s1,
2193730,8493,s0,
2202223,6858,task,s2
2209081,7105,s1,
2216186,7349,s1,
2223535,5878,s0,
2229413,8489,s0,
2237902,2857,,
2240759,3428,s2,
2244187,17126,s2,
2261313,13060,s0,
2274373,5305,,
2279678,12493,s3,
2292171,11674,s1,
2303845,7983,,
2311828,5803,s1,
2317631,8607,s3,
2326238,13882,s3,
2340120,7512,s3,
2347632,5306,s2,
2352938,16195,s0,
2369133,5635,s0,
2374768,4816,,
2379584,14582,s0,
2394166,8574,s3,
2402740,4163,s2,
2406903,5062,,
2411965,4861,s3,
2416826,15139,s3,
2431965,3241,s2,
2435206,11922,s0,
2447128,8692,,
2455820,6132,s0,
2461952,6927,s1,
2468879,15784,tech,s0
2484663,8733,s0,
2493396,11271,s0,
2504667,14376,s0,
2519043,4655,s0,
2523698,3909,s0,
2527607,5399,org.task,s3
2533006,14372,s3,
2547378,12248,s2,
2559626,8084,,
2567710,7258,,
2574968,4899,s2,
2579867,8471,s2,
2588338,19295,s2,
2607633,18861,s2,
2626494,8571,s2,
2635065,4162,s0,
2639227,5145,s3,
2644372,6989,s2,
2651361,2940,s0,
2654301,3674,s0,
2657975,8802,s0,
2666777,5879,s2,
2672656,10044,s3,
2682700,6122,,
2688822,3673,,
2692495,8738,,
2701233,2694,,
2703927,8281,s2,
