tStart,tEnd,time,dialogue,category,subject
0,8950,8950,s3:ok  so first page.s1: so let's reserch about the...,task,s3,
8960,13000,4040,s0:wow we allready have suggestions,tech,s0,
13000,21109,8109,all: laughing         s3:so we have a nice ???           s0: click it,interaction,s3,
21109,31013,9904,s0: yes          s1:so what is the neuron...s0: no  no ??? video            s1: go here no?    s0 ah it's good now,tech,s0,
31013,44202,13189, (silence and some noise),,,
44202,49509,5307,s0: compare the role,task,s0,
49509,54176,4667,s0: ?? because they move their mouse,tech,s0,
54176,59603,5427,(silence),,,
59603,63672,4069,s0: ah there are active corner  they told us,tech,s0,
63672,69016,5344,s0: ok,interaction,s0,
69016,75761,6745,s0: ok s  does anyone have an opinion?,task,s0,
75761,79778,4017,s1: euh before we ????,task,s1,
79778,92870,13092,(silence),,,
92880,102455,9575,s0: yes but the notion of... what is the role of those two for number one question?,task,s0,
102460,165086,62626,(silence and some inaudible dialogue) ,,,
165086,170892,5806,s0: wow  this ????????,tech,s0,
170892,176216,5324,s3: what?,tech,s3,
176216,179778,3562,s2:????????good isn't?  s3: good comparaison table,interaction,s2,
179778,185229,5451,s3: (laughing)maybe ???         s0: ok so...,interaction,s3,
185229,187500,2271,(silence),,,
187510,199526,12016,s0: ok so  inside there is  inside of the membrane there is less NA+ and more K+...ok?,task,s0,
199526,207165,7639,s0:ok so..second paragraph in the midl-s3:yeah yeah,task,s0,
207165,213277,6112, s0:so..s3: ??? they just like the comparness,task,s3,
213277,231001,17724,s0:so  perhaps there is this fact and then the..the forth paragraph..explains what's...euh...their role  in the...In fact kind of to the answer the question if you really don't understand the question. ,task,s0,
231001,235993,4992,(silence),,,
235993,238277,2284,s3: it's smaller cause it's question one,task,s3,
238277,246717,8440,s0: euh?? which one?   s3: K+ NA+ s0:hum..yes insides,task,s0,
246717,249980,3263,s3: and he is the same but he is larger? s0: yes,task,s3,
249980,258399,8419,s2: but how can I say that??? ,task,s2,
258399,266107,7708,s0: yes     s2:where? where is that? s0: euh  it was on the screen I ???  s2: oh you can't ???? s0:no,interaction,s2,
266107,273000,6893,(silence),,,
273000,275354,2354,s0: that was a wikiedia article basicly,interaction,s0,
275354,282307,6953,(silence),,,
282307,287521,5214,s2: ah it's here...??? potential ,task,s2,
287521,296312,8791,s0: so euh... so for NA+ it says....,task,s0,
296312,303628,7316,s0: in fact thereis a movment  there is....euh...nnn...euh,task,s0,
303628,311981,8353,s0: K+ wants  ion wants to go inside...euh no outside of the membrane and NA+ inside.,task,s0,
311981,319194,7213,s0: they want to exchange euh ????,task,s0,
319194,322587,3393,s0: it's what's explain in forth paragraph,task,s0,
322587,329015,6428,(Silence),,,
329015,341273,12258,s0: K+..yeah in the forth paragraph  that means toward the exterior of the neuron for K+ ions and towards the interior for NA+ ions,task,s0,
341273,344307,3034,(silence),,,
344307,358377,14070,s0: and after they say that K+ ion diffuse more rapidlly  so they go out more rapidly than ions coming inside and that's what explains the resting potential,task,s0,
358377,362538,4161,s2: oh sorry,tech,s2,
362538,371340,8802,(siilence),,,
371340,375862,4522,(inaudible),,,
375862,378038,2176,(silence),,,
378038,384768,6730,s3: forth paragraph.. s0: yes... they say that...euh,task,s3,
384768,388776,4008,s1: que Na il va a l'intérieur,task,s1,
388776,427868,39092,(silence),,,
427868,433498,5630,(inaudible),,,
433498,442935,9437,s0: BUT...yeah what I want to say is NA+ is going inside and K+ is going outside.,task,s0,
442935,445118,2183,s3: yes ????,task,s3,
445118,458306,13188,s0: it's what's written in forth paragraph-s2: ah yeah yeah-s0: and euh  this is...yes you're looking at the process that puts back the ions in their original place  so then,task,s0,
458306,466191,7885,s0: with this  we have what like K+ that going outside faster than NA+ going inside,task,s0,
466191,476844,10653,s0: ok? s3:what do ???   s0: that's what they say euh..furthermore K+ ions diffuse more rapidly than sodium ions,task,s3,
476844,482319,5475,(silence),,,
482319,491736,9417,s0: there was a surface a negative charges ??? the neuron....and that's what creating the resting potential,task,s0,
491736,495707,3971,(Silence),,,
495707,499224,3517,s0:yeah but this is crutial..s3:hum,task,s0,
499224,504492,5268,(silence),,,
504492,514214,9722,s0: so it is ok  we say that the role of NA+ is to go euh.. s1: inside s0:inside and the role of K+ is to go outside,task,s0,
514214,518594,4380,s1: but do they have other role?,task,s1,
518594,523742,5148,s1: what is the goal to s0: ok mabe in same paragraph....,task,s1,
523742,528052,4310,s1:when ??? the sodium go inside?,task,s1,
528052,534210,6158,s0: yeah but this is just to balance the charges,task,s0,
534210,536518,2308,s?: yeah it's really???,tech,,
536518,540576,4058,s3: oh we have like one minute,org.task,s3,
540576,544337,3761,s2: but we canot??? right? s0: yes,org.task,s2,
544337,552652,8315,s1: what does it do the... s0: this create....,task,s1,
552652,557349,4697,s1:...the potential?,task,s1,
557349,565028,7679,s0: euh a charge in fact  the...it polaraize the neuron and so gives it its ????,task,s0,
565028,569984,4956,s1: inaudible,,,
569984,572797,2813,s3: ok since we have the roles,task,s3,
572797,575426,2629,,,,
575426,582118,6692,s0: but this is..s1: ah ok it a way to give aneuron impulse.,task,s0,
582118,592510,10392,s0: so are you ok with the answer saying that NA+ goes inside and K+ goes outside?,task,s0,
592510,598546,6036,(silence),,,
598546,603622,5076,s1: next question       s0: maybe i can just...ah ok you said it,org.task,s1,
603622,606111,2489,(silence),,,
606111,608487,2376,s0: yes we didn't ????,interaction,s0,
608487,622587,14100,(silence),,s3,
622587,625021,2434,s3: ????,task,,
625021,627939,2918,s3: is it just to go ????,task,s3,
627939,636531,8592,s0: yes  but then there is a pump to exchange the ??? to go back to the other state,task,s0,
636531,646988,10457,(silence),,,
646988,652390,5402,s0: so they manage...the po???,task,s0,
652390,665447,13057,s0: yeah..this is my keyboard s2:???,tech,s0,
665447,667639,2192,????,,,
667639,678446,10807,s0: do you understand s2:mhm ...???,task,s0,
678446,683700,5254,s2:???? ,task,s2,
683700,692225,8525,(silence),,,
692225,700931,8706,s2:??? s0: yeah so we should change to the other task   s1:???,org.task,s2,
700931,705395,4464,s1: ??? finish??  s0: yeah but I think ????',org.task,s1,
705395,711483,6088,s3: ok well...????,org.task,s3,
711483,726838,15355,s3:actually the role of ???? is heu kind of like enable the communication between the neuron  because here in this explenation it says like how...how it works,task,s3,
726838,738720,11882,s3: well the thing is that when...like ??? the neuron are like in a negative state...and then when they positive euh... I don't know like,task,s3,
738720,749511,10791,s3: then when the sodium comes inside  it then..is taken outside because the difference of the charges in both ????,task,s3,
749511,761272,11761,s3: so it's like  there are like  by nature  there are like resting here and then when sodium came like it..it goes but then it..it.. gives it a way out,task,s3,
761272,765178,3906,s3: ok well I'm actually not sure of it but...,task,s3,
765178,771954,6776, s3: it's the way  I understand  but other thing are why not..saying anything about the roles....so,task,s3,
771954,779384,7430,s3: well I just saying wha't happening but why not actually...   s1:so now ????,task,s3,
779384,786447,7063,s0: so here is my scheme s1: we have to s0: ???? s1: illustrate the generation of resting potential,org.wb,s0,
786447,799551,13104,s0: that's it... that's why...... my idea is just that it's created by the fact that there is more s3: here there????   s0:ions going out than inside.,org.wb,s0,
799551,804613,5062,(silence),,,
804613,809023,4410,s3: then the steps ????,task,s3,
809023,818741,9718,(silence),,,
818741,821885,3144,s3:it's ??? ,task,s3,
821885,836707,14822,(silence),,,
836707,845838,9131,(inaudible) ,,,
845838,851161,5323,(silence),,,
851161,857040,5879,(inaudible),,,
857040,871030,13990,s3:actualy the K+ is is inside the... s0: yeah but it going outside  want to go... s3: ok ok. s0: and the NA+..yes it is... yes there are more like you can say it this way if you want.,task,s3,
871030,876663,5633,s3:the K..the K is actually inside when the sodium arrives s0:yes,task,s3,
876663,888094,11431,s3: it push the others outside s0: exactlly s3: but...but..but the external environment makes the K goes inside so the Na goes outside again.,task,s3,
