tStart,time,subject
6.216,5.733,s1
16.156,2.975,s2
19.623,5.115,s2
25.36,0.76,s3
30.593,9.127,s3
40.823,3.518,s2
45.024,2.79,s2
50.08,14.378,s4
65.57,2.83,s4
68.989,1.313,s3
71.625,7.572,s3
80.36,4.06,s4
84.8,1.7,s1
117.717,5.561,s2
127.266,9.041,s1
153.12,1.86,s4
173.355,3.433,s0
182.46,2.944,s2
188.66,2.213,s2
191.27,1.31,s4
192.761,0.506,s0
193.914,1.182,s2
201.9,8.536,s3
218.3,6.75,s0
225.84,4,s4
232.78,1.886,s4
235.13,5.549,s3
241.388,8.111,s1
261.8,1.12,s4
285.312,7.299,s1
294.045,11.43,s3
307.09,5.971,s4
313.833,6.278,s1
328.861,8.356,s1
339.038,7.514,s1
346.72,4.039,s2
351.888,2.278,s1
354.819,19.791,s0
375.248,2.762,s2
378.14,4.29,s0
383.631,19.469,s3
404.86,9.362,s0
414.611,9.474,s1
428.621,2.269,s3
433.359,3.863,s1
437.555,4.145,s3
442.64,5.37,s4
454.475,15.025,s3
470.242,9.814,s1
480.954,2.421,s3
483.738,3.125,s4
487.085,5.098,s1
502.02,2.041,s4
504.285,2.837,s3
507.231,1.336,s2
524.013,1.055,s3
528.766,7.79,s3
538.54,6.071,s3
544.94,4.274,s2
549.615,0.743,s3
554.62,2.648,s3
559.65,2.62,s0
582.243,1.28,s2
583.645,1.375,s4
585.177,2.229,s3
589.025,3.589,s2
592.83,2.372,s0
595.737,0.394,s2
596.3,1.39,We must consider the initial cost
597.824,5.667,s1
603.649,1.456,s4
605.194,5.699,s2
612.189,0.993,s2
617.701,7.347,s3
625.944,4.104,s2
631.918,0.518,s3
684.318,7.59,s3
697.126,1.514,s2
699.17,0.62,s4
700.122,8.443,s2
710.82,0.97,s0
716.12,1.169,s0
717.341,1.341,s3
719.305,12.616,s3
734.561,2.78,s3
746.403,10.429,s1
809.774,5.676,s1
817.6,4.5,s0
822.487,1.021,s3
824.21,7.34,s3
831.681,6.855,s1
838.76,10.465,s3
853.07,5.986,s4
863.198,3.682,s1
875.77,4.04,s0
880.62,1.68,s0
882.61,1.21,s0
888.456,3.473,s4
892.122,1.983,s3
894.228,3.21,s4
897.543,2.579,s0
900.243,1.912,s3
902.22,1.844,s0
904.22,7.958,s4
912.345,8.508,s0
921.243,8.708,s4
930.536,4.132,s1
935.063,1.105,s0
936.466,3.164,s4
940.024,1.975,s0
942.16,5.296,s4
948.338,3.752,s2
977.67,0.34,s0
982.593,6.474,s2
989.724,0.457,s2
1012.22,1.55,s0
1014.653,0.918,s3
1015.9,5.88,s0
1026.01,2.91,s0
1031.606,3.848,s3
1035.733,0.669,s0
1037.294,1.62,s0
1043.39,3.791,s0
1048.2,2.352,s0
1064.99,1.7,s0
1068.04,2.601,s0
1071.17,3.5,s0
1078.451,3.721,s3
1085.685,4.627,s0
1092.954,4.659,s2
1097.76,1.07,s0
1099.013,4.287,s2
1105.666,2.302,s2
1108.37,0.81,s0
1109.324,2.24,s2
1113.882,5.951,s0
1120.083,0.687,s0
1124.39,10.39,s1
1135.5,1.8,s0
1137.7,12.533,s1
1150.9,1.4,s0
1155.084,3.696,s2
1159.567,6.294,s2
1166.021,4.057,s0
1171.147,2.308,s2
1177.675,1.635,s3
1179.818,1.216,s2
1183.09,2.204,s2
1186.837,7.293,s2
1205.95,11.683,s4
1218.3,11.966,s1
1230.633,8.5,s3
1239.433,12.1,s1
1251.864,6.325,s4
1258.432,2.514,s0
1261.216,2.405,s4
1263.679,7.059,s2
1271.27,7.184,s3
1281,3.733,s0
1285.181,6,s3
1292.233,17.733,s1
1310.366,4.034,s3
1318.49,1.147,s2
1320.316,2.114,s3
1322.756,4.874,s2
1327.885,2.04,s4
1331,20.617,s1
1362.844,5.491,s2
1380.5,10.1,s1
1394.13,3.33,s4
1398.3,1.6,s4
1400.9,3.083,s1
1406.1,3.7,s4
1411.8,2.1,s4
1426.399,13.301,s1
1444.37,3.248,s3
1449.118,10.064,s2
1460.863,5.227,s3
1471.768,1.868,s3
1475.135,3.225,s2
1481.959,17.233,s2
1499.339,4.419,s1
1507.05,8.38,s2
1516.178,3.758,s2
1520.856,6.444,s2
1528.216,1.638,s2
1536.188,1.835,s2
1539.2,6.898,s3
1546.435,1.89,s2
1550.09,4.137,s3
1554.267,2.872,s2
1557.913,2.615,s2
1560.954,4.046,s3
1566.702,17.703,s2
1584.48,3.34,s4
1588.015,6.733,s2
1595.001,12.599,s1
1607.641,3.694,s2
1616.276,5.633,s3
1622.257,4.499,s2
1627.511,4.589,s2
1632.738,5.686,s2
1638.816,2.82,s3
1641.716,1.112,s2
1646.1,5,s1
1652.535,1.465,s3
1655.6,3.6,s4
1659.25,3.205,s2
1675.8,6.4,s4
1682.73,7.154,s1
1690.884,11.885,s3
1703.615,1.692,s3
1705.754,11.376,s1
1720.898,4.638,s3
1726.245,0.855,s0
1727.523,4.183,s3
1732.549,10.035,s2
1744.335,2.747,s2
1747.587,0.392,s2
1749.184,3.198,s2
1753.755,2.331,s2
1756.691,4.825,s2
1762.375,2.3,s2
1765.348,9.048,s2
1776.425,0.603,s3
1777.35,1.032,s2
1779.235,3.055,s2
1784.475,0.598,s3
1789.101,4.528,s2
1794.576,2.375,s2
1797.595,1.725,s2
1800.526,2.32,s2
1803.808,2.075,s2
1806,5.739,s1
1811.824,5.492,s2
1818.481,1.351,s2
1819.909,11.363,s3
1832.102,2.491,s2
1838.987,3.85,s2
1843.375,4.181,s2
1848.715,4.557,s3
1853.465,2.129,s2
1856.715,4.785,s3
1864.009,8.075,s1
1872.17,0.892,s2
1874.085,0.275,s2
1875.006,0.505,s3
1876.698,0.786,s2
1878.521,2.391,s2
1882.054,0.525,s2
1883.354,1.652,s2
1885.05,4.418,s3
1890.64,1.66,s4
1893.095,11.041,s3
1907.75,6.183,s1
1973.54,2.46,s4
1981.596,4.759,s2
1986.842,3.124,s2
1991.759,5.452,s2
