tStart,time,subject
3.68,4.654,s2
10.17,3.55,s4
17.7,5.6,s3
44.66,7.96,s4
52.647,1.543,s1
55.359,2.25,s1
60.971,3.928,s2
69.435,6.327,s2
182.981,2.415,s4
243.311,2.828,s1
246.916,0.929,s2
250.38,5.611,s1
257.709,0.549,s2
264.09,4.79,s4
276.7,10.3,s3
287.621,8.859,s1
296.5,8.09,s3
304.621,1.608,s1
306.761,3.582,s3
331.4,3.291,s3
358.708,3.086,s2
363.809,2.429,s2
379.195,4.048,s3
388,5.658,s3
395.8,3.3,s3
400.915,1.285,s3
405.175,1.705,s3
406.911,4.029,s2
411,1.4,s3
425.3,3.9,s3
430.269,1.216,s2
485.81,3.38,s4
490.661,5.939,s3
576.249,3.581,s0
582.14,2.432,s0
586.79,0.39,s0
594.837,0.753,s2
602.2,13.1,s3
617.345,1.429,s1
655.258,42.362,s3
697.65,1.53,s1
699.18,5.04,s0
704.22,16.86,s0
722.909,1.071,s0
723.99,2.4,s0
729.14,1.377,s0
730.53,1.59,s3
732.127,0.394,s0
736.822,6.916,s2
745.231,8.369,s3
753.843,3.271,s1
758,4.04,s3
766.38,7.786,s3
778.86,3.46,s4
783.625,2.75,s3
787.7,2.61,s4
794.773,8.497,s3
803.28,4.44,s4
809.92,3.04,s4
813.433,0.647,s3
815.318,6.387,s3
822.052,4.163,s2
831.931,5.879,s3
837.84,1.239,s1
841,1.09,s3
859.58,4.33,s1
863.95,3.231,s3
868.261,10.92,s3
879.818,1.982,s3
881.83,3.685,s2
886.772,5.138,s3
891.948,1.28,s2
895.136,4.119,s3
904.913,2.177,s3
915.076,4.831,s2
919.94,2.423,s3
938.484,6.938,s2
946.109,5.611,s2
958.181,3.85,s3
963.734,3.283,s2
967.965,11.515,s3
979.522,6.718,s2
987.322,3.438,s2
1000.084,3.514,s2
1005.112,3.757,s2
1016.191,0.629,s2
1020.32,2.61,s4
1027,6.1,s4
1038.472,2.268,s1
1044.53,3.9,s4
1049.3,0.51,s4
1052.09,0.22,s0
1054.207,7.774,s4
1062.568,0.477,s2
1064.564,4.762,s2
1072.24,2.92,s2
1075.34,1.08,s4
1088.56,2.422,s2
1091.018,1.963,s4
1093.865,2.08,s2
1097.476,0.987,s2
1102.415,1.698,s4
1106.509,1.415,s4
1151.345,3.865,s2
1155.231,2.814,s3
1163.79,3.807,s0
1202.784,3.033,s2
1206.916,0.831,s2
1209.943,2.34,s4
1237.977,3.37,s0
1244.859,3.135,s2
1268.598,1.685,s2
1341.247,3.022,s2
1350.09,0.86,s3
1351.006,1.348,s2
1354.681,2.046,s3
1358.94,1.779,s2
1361.893,0.678,s2
1364.732,2.08,s2
