tStart,time,subject
4.18,6.37,s0
10.69,7,s2
18.52,7.118,s0
25.91,0.62,s0
27.519,4.012,s0
32.43,4.618,s0
38.088,4.503,s0
43.477,1.043,s1
45.6,1.06,s2
46.66,0.41,s0
48.39,8.928,s2
59.977,0.563,s2
61.09,0.9,s2
62.92,4.59,s1
67.94,1.94,s0
71.607,5.5,s0
78.73,1.13,s2
79.87,0.873,s0
80.85,2.47,s1
85.431,2.48,s0
89.787,1.637,s0
93.89,2.33,s0
96.22,2.674,s1
99.497,2.724,s0
103.043,1.446,s0
105.893,0.859,s1
107.822,4.076,s0
122.51,10.34,s1
135.24,1.07,s0
138.56,2.89,s0
146.336,2.5,s0
150.225,0.638,s1
153.719,7.801,s0
163.898,2.991,s0
168.297,0.537,s1
169.272,2.183,s0
174.48,1.162,s0
175.94,0.924,s1
179.327,1.2,s0
181.097,0.954,s1
184.628,2.269,s0
187.285,0.306,s3
187.591,1.136,s2
188.88,4.983,s3
193.863,5.128,s3
198.991,1.535,s1
201.012,1.234,s0
202.497,4.681,s3
207.382,0.264,s1
207.646,2.89,s3
211.582,1.205,s1
213.14,5.745,s1
219.816,1.332,s0
221.506,1.065,s1
222.571,3.054,s3
226.748,0.662,s1
227.9,2.12,s3
230.52,1.4,s0
235.674,13.866,s2
250.987,5.073,s2
256.71,3.642,s2
262.91,2.28,s1
267.258,1.24,s1
268.86,3.555,s0
273.437,2.673,s2
276.762,3.135,s2
281.181,3.683,s0
286.353,1.187,s0
287.54,5.066,s1
293.848,2.868,s3
296.831,3.138,s1
300.196,1.897,s3
304.081,8.499,s0
312.81,6.98,s0
320.203,0.485,s3
321.329,0.516,s0
322.855,2.902,s1
332.753,2.828,s2
340.59,3.07,s0
344.1,4.37,s3
350.489,1.088,s0
351.92,0.936,s3
354.51,1.84,s0
356.35,2.16,s3
358.85,1.92,s2
362.2,6.5,s0
368.7,10.07,s3
378.77,5.09,s1
383.86,1.85,s2
386.27,1.38,s1
387.868,1.902,s3
