tStart,time,subject
3.585,3.865,s0
12.706,7.894,s0
22.692,0.6,s0
46.517,3.147,s0
49.816,3.274,s1
53.1,1.984,s0
55.12,1.86,s1
57.027,1.853,s0
58.92,1.017,s1
61.123,1.18,s1
62.343,1.808,s0
64.461,7.001,s0
71.562,2.148,s1
73.76,2.993,s0
76.823,1.153,s1
78.016,0.28,s3
81.996,3.474,s1
85.5,1.085,s3
86.705,1.4,s0
88.125,3.354,s3
91.519,0.85,s1
92.379,9.771,s3
103.957,2.01,s1
108.998,0.375,s0
111.5,0.801,s1
112.331,0.37,s3
112.741,0.48,s0
115.806,3.093,s1
119.43,8.36,s3
127.905,0.54,s2
129.964,2.22,s1
132.284,4.645,s3
137.009,1.406,s1
138.475,0.43,s0
139.005,1.414,s2
146.58,1.05,s0
147.69,0.46,s3
148.53,1.943,s0
171.951,1.917,s1
174.822,1.404,s0
176.302,3.023,s3
179.415,4.244,s1
183.729,4.285,s3
188.104,2.658,s1
191.584,5.155,s3
196.799,0.49,s1
198.845,2.005,s0
200.873,0.403,s1
202.249,5.336,s3
207.715,1.323,s2
209.098,1.158,s0
210.286,5.096,s3
217.922,0.36,s1
218.689,3.686,s3
222.495,4.178,s1
226.743,0.47,s0
227.403,0.547,s2
228.13,7.955,s1
236.421,1.29,s1
238.075,0.889,s2
239.494,7.399,s1
247.052,1.119,s3
248.231,0.55,s0
248.909,1.984,s2
252.124,3.542,s3
255.806,4.697,s2
260.663,1.757,s0
262.552,3.12,s1
266.8,2.74,s3
271.017,1.061,s0
276.635,0.47,s2
277.165,1.36,s1
278.595,2.582,s2
281.207,1.493,s1
283.715,6.145,s2
293.05,1.659,s2
295.087,11.647,s1
308.668,0.43,s0
311.81,2.11,s3
314.01,2.734,s0
320.546,3.824,s1
325.23,3.808,s0
333.071,5.487,s3
338.688,5.642,s1
344.9,2.15,s0
347.07,2.026,s3
349.156,1.131,s1
350.287,9.688,s0
362.635,4.114,s2
367.119,1.433,s3
369.994,0.967,s3
370.974,0.496,s0
371.504,0.2,s1
372.681,0.87,s3
373.611,2.603,s2
380.773,5.314,s0
387.954,1.686,s3
396.384,2.209,s0
400.491,10.098,s0
415.17,4.148,s0
419.468,7.782,s3
428.17,2.315,s1
430.515,17.959,s2
449.32,1.91,s1
451.335,1.11,s2
455.523,1.853,s2
457.376,3.064,s3
462.27,3.614,s0
465.884,1.05,s3
467.03,2.675,s0
470.066,2.57,s3
473.236,0.38,s0
473.616,6.001,s3
479.617,0.812,s0
480.429,2.265,s3
483.424,6.972,s0
490.396,2.291,s3
494.437,18.34,s3
515.27,8.883,s1
525.418,3.386,s2
529.044,4.488,s1
534.291,3.077,s2
537.448,2.871,s1
540.359,2.019,s3
544.875,3.791,s1
549.825,9.929,s0
560.444,1.503,s1
562.537,5.373,s3
569.764,1.248,s0
578.023,16.973,s0
595.096,0.7,s3
595.872,4.302,s2
600.826,2.674,s0
604.69,5.539,s3
613.029,5.003,s3
618.032,1.155,s2
619.187,3.813,s0
627.583,2.465,s0
630.418,1.806,s3
645.698,2.139,s0
648.54,0.4,s1
652.8,1.172,s0
660.78,5.128,s0
669.278,8.931,s1
678.249,0.829,s0
679.279,17.212,s0
697.231,2.099,s0
699.33,21.509,s1
721.846,1.973,s0
724.397,3.143,s1
728.611,3.899,s0
732.714,1.132,s1
737.156,0.49,s3
741.8,5.563,s3
747.616,2.38,s1
749.996,1.616,s3
752.688,2.102,s1
770.35,4.13,s1
775.226,1.798,s0
777.024,5.486,s1
783.244,3.576,s0
792.394,5.376,s1
798.39,1.14,s1
810.16,3.038,s0
824.96,1.22,s0
844.96,0.36,s0
845.36,1.77,s1
847.19,0.62,s3
847.85,0.44,s0
848.29,5.318,s3
853.81,1.23,s1
855.04,7,s3
862.04,10.23,s1
874.55,1.83,s0
876.63,3.104,s1
879.824,2.876,s0
882.71,4.026,s1
886.908,3.282,s0
890.19,0.57,s1
890.99,1.39,s0
892.44,0.451,s1
893.27,6.668,s0
901.03,1.68,s2
904.17,0.462,s0
904.9,0.37,s2
905.88,2.35,s1
911.77,1.12,s2
914.79,0.3,s0
917.299,1.11,s1
