tStart,time,subject
4.36,3,s0
8.24,3.82,s0
12.649,6.151,s1
20.06,3.56,s1
24.88,5.84,s0
39.26,1.76,s0
45.78,0.66,s2
47.48,0.36,s2
49.46,2.86,s0
53.52,2.7,s0
59.44,2.76,s2
63.82,1.48,s2
67.38,2.04,s2
78.88,4.08,s0
86.32,0.68,s2
89.24,1.28,s0
92.54,4.1,s0
97.5,5.3,s0
103.76,3.44,s1
111.02,1.14,s1
114.1,2.72,s1
117.84,5.84,s1
129.3,2.12,s1
133.76,1.08,s2
136.74,0.24,s1
138.2,1.26,s1
148.02,2.5,s1
151.36,0.42,s1
155.28,4.3,s1
160.96,2.34,s2
168.54,1.38,s1
173.72,1.36,s3
176.86,2.86,s0
183.18,1.78,s1
186.02,1.82,s1
188.76,2.7,s0
194.08,9.82,s1
205.18,11.12,s1
217.1,2.58,s0
219.68,3.3,s1
226.56,5.36,s1
234.78,2.04,s1
237.74,0.56,s1
239.28,4.78,s0
245.34,1.13,s0
246.47,3.625,s0
250.095,3.415,s0
253.96,1.54,s3
265.66,1,s1
267.54,0.44,s2
270.06,9.38,s0
281.2,0.42,s1
286.14,4.86,s0
293.36,4.66,s0
300.7,0.98,s0
303.12,2.2,s0
305.73,2.52,s1
308.25,1.85,s2
311.47,1.83,s0
314.48,0.94,s2
316.74,1.36,s2
319.42,4.56,s0
324.74,1.45,s0
327.08,2.05,s2
329.62,1.22,s0
330.84,1.67,s1
332.51,2.89,s0
339.02,2.58,s1
342.46,0.9,s2
349.06,1.96,s0
354.66,1.36,s0
363.66,5.24,s1
369.68,1.04,s1
373.96,1.02,s2
375.86,0.26,s2
376.86,1.1,s2
379.5,1.96,s2
382.98,3.72,s0
387.48,2.04,s1
390.5,1.1,s1
393.96,3.78,s1
398.72,6.16,s1
405.68,3.24,s2
410.3,1.78,s1
412.98,0.72,s0
415.18,0.82,s2
416.88,1.43,s1
418.31,11.79,s0
432.18,2.7,s2
435.86,2.62,s0
440.14,1.68,s0
443.52,1.46,s1
454.2,3.74,s1
459.24,2.52,s1
463.06,2.8,s1
474.2,2.04,s0
477.3,2.08,s1
481.34,3.24,s1
485.36,1.78,s2
489.74,2.6,s0
493.88,2.23,s0
496.75,3.62,s0
500.37,3.08,s2
503.45,1.08,s0
504.53,2.61,s2
509.82,3.04,s0
518.5,11.08,s2
531.3,2.1,s2
540.12,1.04,s2
542.3,0.24,s2
544.5,13.82,s0
560.4,3.43,s0
574.06,3.44,s0
581.42,0.54,s1
583.08,0.4,s1
584.54,1.66,s0
587.44,0.76,s2
589.68,0.74,s2
591.56,0.74,s2
593.06,0.54,s0
595.82,0.5,s1
597.04,1.44,s0
598.48,1.44,s1
599.92,0.74,s0
601.46,1.96,s1
605.86,2.88,s0
609.48,0.66,s3
612.18,0.36,s1
613.72,4.53,s2
618.25,0.41,s0
619.5,1.3,s2
620.8,1.36,s1
623.84,1.42,s2
626.42,2.18,s2
632.28,3.73,s2
636.01,0.98,s0
636.99,1.15,s2
