tStart,time,subject
5.746,7.739,s2
13.485,2.616,s0
16.101,1.427,s2
18.085,3.98,s2
22.266,0.057,s1
23.493,0.913,s2
24.406,3.804,s0
28.35,3.37,s1
31.86,0.49,s0
33.97,1.23,s0
38.023,1.367,s0
42.27,2.24,s2
44.94,3.11,s0
48.11,3.39,s2
51.745,1.585,s1
59.3,3.583,s3
72.371,1.042,
78.636,5.289,s0
84.975,6.098,s1
100.768,2.118,s2
103.686,0.83,s1
105.163,3.893,s1
109.586,0.104,s0
112.405,5.181,s2
120.643,9.147,s1
131.233,4.493,s1
136.168,4.463,s1
143.181,15.235,s2
158.913,4.652,s1
163.73,8.37,s0
172.29,9.41,s2
183.44,0.37,s0
183.87,6.84,s2
192.526,16.924,s1
211.465,5.535,s0
219.95,2.898,s2
223.29,1.551,s1
226.9,4.21,s3
238.486,4.174,s0
247.25,13.226,s2
262.3,3.65,s2
266.18,0.49,s1
266.806,3.82,s2
270.68,2.526,s1
273.886,3.487,s2
303.326,4.25,s2
307.676,6.774,s3
319.29,15.46,s0
335.01,20.425,s2
355.593,12.457,s2
369.51,8.488,s3
378.218,8.088,s1
386.366,0.287,s2
389,2.425,s2
395.523,0.598,s1
398.255,8.465,s0
406.9,2.4,s1
417.76,4.318,s1
422.16,7.54,s2
429.948,8.442,s2
439.046,20.184,s1
459.41,6.93,s2
466.39,1,s1
467.48,2.85,s2
470.48,3.88,s1
474.47,10.82,s3
486.236,11.704,s2
498.066,2.027,s1
500.1,2.586,s2
504.706,6.76,s2
514.751,1.244,s2
516.806,2.129,s1
518.935,0.418,s3
519.963,0.992,s2
523.25,2.66,s0
529.29,6.22,s2
535.81,5.12,s1
544.73,10.81,s3
555.75,3.151,s0
560.173,7.078,s0
567.45,4.84,s2
572.46,1.3,s0
575.33,0.698,s2
583.41,3.66,s1
590.6,5.64,s2
596.38,2.253,s0
605.42,0.921,s1
621.3,1.701,s3
629.435,1.163,s3
634.096,3.254,s3
661.43,1.84,s3
663.32,0.631,s2
664.63,6.1,s3
670.865,2.563,s3
675.558,6.172,s2
683.985,1.085,s1
693.745,11.125,s2
704.916,2.254,s0
708.85,4.851,s1
717.27,10.14,s3
758.02,1.98,s3
761.12,0.63,s2
763.821,2.832,s3
785.266,3.919,s2
