tStart,time,subject
4.496,9.075,s3
13.838,12.39,s3
26.85,2.988,s3
29.91,2.01,s2
31.92,2.09,s2
34.265,2.083,s3
36.556,2.172,s2
39.071,2.872,s2
42.52,2.103,s1
44.796,4.619,s2
53.238,6.212,s1
60.055,7.913,s2
68.103,3.587,s2
72.27,10.675,s2
83.373,28.947,s2
112.521,1.185,s1
113.773,6.917,s2
123.726,4.442,s1
128.38,4.07,s2
132.531,3.48,s2
140.081,13.869,s0
165.96,2.045,s1
168.005,7.045,s1
175.108,4.767,s3
179.935,7.385,s2
187.426,11.929,s2
199.85,6.873,s2
206.97,4.526,s2
211.916,7.417,s2
219.683,9.343,s2
229.241,4.574,s2
233.861,9.58,s0
243.746,12.962,s2
262.996,3.872,s2
267.111,5.472,s3
272.795,2.188,s2
275.198,8.712,s2
284.07,5,s2
289.146,8.61,s2
298.861,2.89,s3
321.4,3.241,s3
339.146,1.977,s3
353.233,3.952,s3
357.231,3.285,s2
361.198,6.218,s3
369.726,7.597,s1
377.48,4.171,s2
381.995,5.275,s1
387.588,3.913,s0
391.715,2.368,s2
394.316,9.549,s3
403.938,8.02,s1
412.345,3.576,s3
416.605,3.993,s3
421.301,10.079,s1
431.585,4.143,s2
436.701,1.049,s3
438.015,3.33,s3
441.36,7.331,s1
449.131,13.904,s2
463.081,2.249,s1
465.428,4.852,s2
471.755,9.391,s0
481.915,4.005,s1
486.785,2.348,s0
489.36,3.046,s0
495.643,5.32,s2
501.03,2.208,s1
504.046,4.675,s2
511.333,3.977,s0
523.423,6.537,s0
533.858,6.817,s0
543.116,0.515,s3
546.555,11.801,s1
558.961,1.579,s0
561.113,4.052,s2
569.738,1.32,s1
571.515,1.008,s0
573.1,3.941,s0
577.641,2.607,s3
580.951,5.625,s0
586.88,3.906,s0
592.05,6.655,s2
599.278,2.372,s0
603.18,4.175,s0
608.105,7.776,s1
617.186,5.987,s1
623.285,0.795,s0
624.815,5.921,s0
636.4,7.691,s0
646.115,6.945,s3
653.723,3.472,s3
658.316,2.109,s2
660.425,2.775,s3
664.715,5.835,s2
673.395,3.191,s0
676.85,4.233,s0
681.635,2.17,s2
684.173,1.612,s0
686.356,3.664,s2
693.395,2.878,s1
697.266,3,s3
702.36,3.743,s0
719.556,6.412,s2
728.435,3.675,s2
732.636,4.474,s1
738.56,1.441,s0
741.726,6.734,s0
750.92,3.44,s2
755.306,14.519,s2
770.241,4.179,s2
775.153,2.918,s2
779.936,6.254,s0
786.335,8.09,s1
795.203,10.502,s1
805.713,14.127,s3
819.95,1.541,s1
821.755,2.045,s3
824.578,1.532,s1
826.135,4.875,s3
831.201,5.229,s2
847.275,10.631,s2
857.99,4.746,s0
863.163,12.967,s2
876.325,3.376,s1
881.435,4.615,s2
886.241,2.514,s0
888.98,6.035,s2
905.973,3.947,s3
910.173,6.76,s0
918.165,3.776,s0
922.143,4.998,s0
938.203,4.853,s0
948.721,3,s0
956.786,6.264,s2
966.145,3.5,s1
969.92,9.435,s2
979.951,2.93,s0
991.263,7.98,s1
1018.945,3.705,s1
1022.808,2.777,s2
1025.641,2.949,s1
1030.721,2.035,s2
1034.758,3.258,s0
1040.13,10.273,s2
1058.76,2.573,s0
1066.098,6.757,s2
1074.375,4.603,s0
1081.726,7.544,s2
1089.27,0.555,s3
1112.59,0.971,s2
1114.393,2.932,s0
1117.325,4.061,s2
1121.443,3.655,s0
1125.315,9.613,s0
1135.266,3.722,s3
1143.375,9.616,s2
1156.393,2.823,s1
1159.216,3.507,s2
1162.82,22.79,s2
1185.706,7.324,s2
1238.976,2.879,s2
1279.583,18.648,s1
1298.231,3.905,s2
1302.136,11.672,s3
1313.808,8.56,s1
1322.911,28.239,s2
1351.15,7.215,s0
1358.365,14.435,s2
1373.318,10.86,s0
1384.595,21.835,s2
1406.998,6.047,s2
