tStart,time,subject
5.355,2.553,s0
7.908,8.05,s0
15.958,5.457,s3
21.415,9.436,s0
30.851,3.222,s0
34.073,2.142,s0
36.215,9.008,s1
45.223,5.277,s0
50.5,4.173,s1
54.673,2.542,s3
82.508,4.232,s3
86.74,6.165,s0
92.905,4.821,s1
97.726,2.63,s0
100.356,4.187,s0
104.543,2.417,s3
128.85,6.103,s3
134.953,4.197,s1
139.15,3.8,s1
142.95,2.14,s0
145.09,8.978,s0
154.068,1.805,s3
164.136,4.889,s0
174.24,6.053,s0
189.661,2.487,s0
192.148,5.51,s0
197.658,2.715,s0
200.373,4.57,s3
204.943,3.042,s0
207.985,5.44,s1
213.425,6.626,s3
220.051,3.572,s0
223.623,6.875,s0
230.498,3.045,s0
233.543,7.793,s0
241.336,8.167,s0
249.503,8.605,s0
260.536,2.747,s0
263.283,2.94,s0
266.223,2.653,s3
268.876,3.679,s3
272.555,2.761,s0
275.316,2.384,s1
277.7,4.565,s3
282.265,7.703,s3
289.968,1.688,s0
291.656,4.422,s3
296.078,5.093,s0
301.171,4.135,s0
305.306,1.85,s1
307.156,9.089,s0
316.245,3.965,s0
324.2,4.811,s3
334.898,6.702,s0
341.6,3.08,s1
344.68,3.893,s0
348.573,6.625,s0
355.198,4.3,s1
359.498,5.572,s0
365.07,2.161,s3
367.231,3.735,s3
373.02,6.026,s1
379.046,4.14,s1
383.186,8.205,s0
395.098,5.375,s1
400.473,10.127,s0
417.521,7.659,s3
425.18,6.221,s0
431.401,4.212,s1
435.613,7.563,s0
443.176,4.107,s1
447.283,2.862,s1
450.145,6.471,s0
456.616,3.877,s0
463.715,5.025,s0
468.74,6.21,s0
474.95,6.75,s0
481.7,5.285,s0
488.826,5.664,s1
494.49,13.293,s3
507.783,5.403,s0
526.725,7.815,s1
534.54,2.523,s0
537.063,6.813,s0
543.876,4.594,s0
548.47,3.716,s3
552.186,3.389,s1
555.575,5.333,s1
560.908,7.827,s0
568.735,8.701,s1
584.005,11.135,s0
595.14,10.04,s0
605.18,4.29,s0
629.311,3.844,s0
633.155,8.1,s0
641.255,2.228,s0
643.483,4.548,s0
648.031,1.987,s0
650.018,1.717,s0
651.735,6.446,s0
658.181,2.087,s0
660.268,10.763,s0
