tStart,time,subject
3.39,0.51,s1
5.194,3.158,s3
8.647,9.414,s3
20.143,1.896,s3
22.327,5.525,s1
28.308,1.359,s3
29.849,0.916,s0
31.916,3.287,s0
36.359,4.282,s0
41.438,2.956,s0
45.868,1.819,s1
48.543,1.767,s1
50.636,3.274,s2
54.833,0.427,s3
55.695,12.65,s1
68.733,5.068,s1
74.475,1.456,s2
76.466,0.642,s0
78.204,0.823,s1
80.163,1.402,s2
82.885,4.955,s3
87.86,0.358,s2
88.28,1.686,s0
90.023,1.927,s3
92.99,1.78,s2
95.667,18.268,s3
115.04,4.01,s2
120.133,3.547,s1
123.78,1.3,s3
125.201,1.409,s3
127.658,6.261,s3
135.568,0.865,s1
137.062,2.703,s1
140.005,0.374,s2
140.899,3.431,s1
145.461,2.25,s2
147.932,2.963,s2
152.531,18.852,s3
171.544,2.01,s3
173.864,2.026,s3
175.98,1.442,s2
177.624,3.895,s3
181.76,3.43,s2
185.907,1.333,s2
188.035,3.038,s3
192.45,2.73,s3
198.713,4.666,s0
203.732,2.056,s2
207.726,2.461,s3
210.438,0.593,s3
211.62,3.477,s2
215.815,0.592,s3
216.766,2.158,s0
219.82,0.98,s2
221.828,17.602,s3
239.793,2.269,s3
242.255,5.527,s3
247.944,6.258,s3
254.409,1.106,s3
256.836,0.502,s3
258.363,4.165,s3
262.896,1.269,s2
264.343,1.796,s2
267.238,4.313,s2
273.246,1.74,s2
276.415,7.255,s2
286.131,1.358,s3
287.57,1.767,s3
289.642,6.734,s2
298.038,6.39,s3
305.123,6.156,s3
311.873,4.591,s2
317.876,2.846,s2
321.329,1.231,s2
322.56,9.85,s2
332.42,6.23,s2
338.921,2.408,s3
343.534,1.71,s3
345.558,7.851,s3
354.011,5.927,s3
360.41,0.659,s3
362.12,3.62,s0
368.251,1.967,s1
370.8,1.822,s0
372.862,1.906,s1
375.444,0.728,s3
376.68,1.624,s3
379.206,3.59,s3
383.489,2.766,s0
386.455,4.189,s3
391.571,4.107,s2
396.37,0.723,s3
399.01,1.9,s3
402.187,0.368,s3
420.07,0.26,s3
434.093,0.817,s3
443.568,1.614,s3
446.019,9.244,s3
456.13,2.796,s3
465.631,2.951,s3
470.597,1.78,s3
473.269,1.273,s3
476.655,1.622,s3
490.02,0.967,s3
491.142,1.108,s3
493.584,7.147,s3
505.544,0.397,s3
506.845,2.734,s3
510.249,8.975,s3
521.729,10.102,s3
533.007,0.527,s3
534.63,2.11,s0
538.013,1.384,s3
540.512,0.536,s3
542.789,0.416,s3
558.657,3.423,s3
562.61,1.75,s3
570.06,0.95,s3
573.458,7.282,s3
581.68,10.28,s3
592.04,1.54,s3
599.95,1.583,s3
612.841,0.512,s3
614.353,1.094,s3
616.726,3.594,s3
621.792,1.396,s3
623.791,1.661,s3
626.822,0.766,s3
628.125,5.706,s3
641.005,0.89,s3
648.898,2.112,s3
651.058,0.824,s2
651.882,3.763,s3
655.95,1.646,s3
660.707,2.136,s3
664.459,2.56,s3
668.734,4.903,s2
673.839,4.634,s3
678.631,2.33,s3
681.206,1.63,s3
682.994,1.568,s3
685.74,2.16,s3
693.05,2.19,s3
695.622,4.896,s2
700.861,4.508,s2
719.255,5.643,s0
725.213,8.21,s2
733.914,4.976,s2
739.201,2.833,s1
743.685,3.609,s2
747.635,2.29,s3
750.249,3.076,s3
753.91,3.942,s3
757.996,3.993,s3
762.508,10.05,s2
773.091,0.951,s2
775.026,0.718,s3
777.512,1.237,s3
788.216,2.73,s3
792.613,1.062,s3
794.048,5.169,s3
800.454,1.961,s2
802.755,2.892,s2
807.863,0.566,s3
808.988,0.742,s3
816.959,5.335,s3
823.873,1.356,s3
833.141,0.677,s3
870.518,2.094,s3
874.999,0.481,s3
889.868,2.469,s3
892.814,5.481,s0
902.848,1.475,s1
904.638,1.731,s0
907.195,2.446,s0
913.4,1.017,s0
915.639,0.852,s0
916.657,0.508,s3
918.368,0.993,s3
919.522,2.186,s3
923.108,4.928,s1
941.797,2.464,s3
945.024,2.97,s1
948.634,1.326,s0
950.296,3.685,s3
954.231,0.891,s3
955.332,2.524,s3
962.069,6.158,s0
968.447,12.914,s2
981.629,0.794,s3
982.569,11.052,s3
993.788,1.665,s0
996.549,1.885,s0
999.274,0.916,s0
1001.097,5.045,s3
1006.828,6.251,s3
1013.75,0.928,s3
1015.616,2.562,s3
1022.173,1.035,s1
1023.402,4.105,s3
1027.84,0.222,s3
1029.073,3.146,s3
1033.337,1.562,s1
1038.468,2.679,s1
1041.397,4.189,s1
1045.623,0.672,s3
1046.64,3.604,s2
1050.597,1.414,s3
1052.28,7.729,s1
1060.093,4.242,s3
1064.498,4.921,s3
1069.58,7.097,s3
1076.859,4.576,s3
1081.65,15.209,s3
1097.032,2.023,s0
1099.372,3.524,s3
1105.44,2.39,s3
1114.712,1.052,s3
