tStart,time,subject
1.041,11.459,s3
14.19,2.866,s3
25.198,6.308,s3
40.153,10.848,s3
51.804,1.302,s2
59.377,1.066,s3
61.763,1.229,s3
63.338,5.652,s3
69.55,4.064,s2
81.457,7.562,s1
89.884,3.166,s1
97.163,4.872,s3
108.15,5.264,s3
126.363,4.988,s2
143.525,3.282,s1
160.377,12.308,s3
182.092,2.416,s3
185.297,1.986,s1
194.126,2.149,s3
208.522,9.879,s3
230.283,3.915,s1
235.299,3.496,s3
246.04,2.559,s3
253.036,3.964,s0
257.804,6.402,s1
265.604,4.644,s1
279.176,2.129,s2
283.536,5.245,s1
289.59,2.331,s1
292.417,3.89,s3
298.17,15.996,s3
314.56,9.09,s2
323.87,2.37,s0
326.24,10.312,s1
337.196,5.026,s2
342.589,3.824,s3
346.954,3,s1
350.287,7.037,s3
368.196,1.858,s0
370.932,5.569,s1
380.828,5.197,s0
392.121,2.938,s1
396.144,3.222,s1
400.534,4.879,s2
410.885,3.338,s2
425.306,13.348,s1
459.888,3.392,s1
466.206,12.942,s3
482.163,7.386,s2
490.499,11.838,s3
503.081,7.973,s2
518.046,7.44,s0
526.299,2.759,s3
563.128,5.302,s3
575.861,4.798,s2
590.883,9.908,s1
601.057,7.365,s1
609.032,10.715,s3
620.444,1.761,s2
622.766,7.445,s2
630.632,6.631,s3
637.492,7.247,s3
660.741,14.11,s3
675.321,1.996,s3
677.674,4.857,s3
684.541,7.906,s3
692.855,1.547,s1
698.51,3.497,s1
702.448,6.872,s1
709.513,3.193,s1
717.188,3.062,s2
721.252,7.994,s3
733.08,13.144,s1
747.192,2.656,s3
756.882,4.609,s3
783.032,4.384,s3
788.362,3.234,s1
793.059,7.032,s3
804.924,2.304,s3
807.71,7.986,s1
816.255,15.443,s3
835.27,4.821,s3
840.532,7.459,s3
848.446,4.562,s2
853.273,4.081,s0
857.85,11.031,s3
872.018,7.884,s3
880.287,4.446,s1
885.604,4.779,s3
893.479,7.567,s3
909.321,2.822,s0
914.088,0.915,s3
921.366,2.918,s2
925.86,2.664,s3
953.721,4.911,s3
959.061,4.544,s3
965.489,2.85,s3
969.024,4.64,s3
978.746,4.497,s0
983.617,0.87,s3
984.886,3.482,s3
988.632,8.523,s3
1002.146,3.512,s3
1006.571,5.702,s2
1013.212,3.121,s2
1016.781,3.8,s3
1022.126,5.193,s3
1028.121,8.688,s3
