,ld1,ld2,ld3
age                                        ,0.690829324,-0.477273288,-0.66426164
genderMale                                ,0.552630236,-2.238038284,-1.277214344
tool.used.writingKeyboard                   ,0.323032227,0.634803271,-0.03803038
tool.used.writingNeither (didn't w,-2.220647821,1.040466649,-3.456472836
tool.used.writingiPad       ,1.51177877,-0.753360005,-1.174448501
nb.explicit.search  ,0.08953085,0.211510423,-0.154773969
nb.page.switches   ,-0.127185247,0.001466719,-0.034825057
total.actions          ,-0.000333066,-0.000915705,0.000400894
nb.graphics.edit      ,0.003373659,0.003597741,-0.001185675
nb.actions.ipad          ,-0.009647836,0.007687395,-0.010168475
total.time   ,-0.020241627,-0.049162687,0.015690001
