role,x,y,size,shape,team,position,yorig,yinverted
None,15.77297164,-0.072309065,189,square,Parrot,0,-12.57230906,12.57230906
None,17.67737906,-0.623048448,48,square,Parrot,1,-13.12304845,13.12304845
None,16.75303201,1.376810281,57,square,Parrot,2,-11.12318972,11.12318972
None,16.38066408,-2.001748375,1190,square,Parrot,3,-14.50174837,14.50174837
None,16.1517003,-0.712535662,695,square,Hamster,0,-13.21253566,13.21253566
None,16.52923714,-0.509307715,5,square,Hamster,1,-13.00930771,13.00930771
None,19.65778728,-2.639600234,425,square,Hamster,2,-15.13960023,15.13960023
None,16.43172379,-0.708552216,1,square,Hamster,3,-13.20855222,13.20855222
Time,17.92927233,-1.358735729,659,square,Panda,0,-13.85873573,13.85873573
Leader,15.87655671,2.210961785,12,square,Panda,1,-10.28903822,10.28903822
Search,17.69225349,0.364929522,13,square,Panda,2,-12.13507048,12.13507048
Organize,16.41647888,-1.055026316,1073,square,Panda,3,-13.55502632,13.55502632
Leader,15.83729003,-1.14819159,57,square,Dolphin,0,-13.64819159,13.64819159
Organize,13.61140114,0.286791541,393,square,Dolphin,1,-12.21320846,12.21320846
Time,16.20443178,-0.351981469,26,square,Dolphin,2,-12.85198147,12.85198147
Search,18.32903592,1.21663594,11,square,Dolphin,3,-11.28336406,11.28336406
Time,17.16670347,-1.939070091,1242,square,Penguin,0,-14.43907009,14.43907009
Search,18.24419862,1.599418314,6,square,Penguin,1,-10.90058169,10.90058169
Organize,15.75087536,-0.238050618,0,square,Penguin,2,-12.73805062,12.73805062
Leader,14.62704533,0.43458418,1628,square,Penguin,3,-12.06541582,12.06541582
None,16.774148,0.696747428,51,square,Beaver,0,-11.80325257,11.80325257
None,18.21615028,-0.776569215,688,square,Beaver,1,-13.27656922,13.27656922
None,17.5023475,2.748179093,1024,square,Beaver,2,-9.751820907,9.751820907
None,17.48043349,1.553119059,217,square,Beaver,3,-10.94688094,10.94688094
None,17.09590638,1.337557391,2030,square,Beaver,4,-11.16244261,11.16244261
None,15.54862148,2.205829211,191,square,Parrot,0,-10.29417079,10.29417079
None,16.049949,0.399307569,14,square,Parrot,1,-12.10069243,12.10069243
None,17.82091945,-0.72205228,1107,square,Parrot,3,-13.22205228,13.22205228
None,16.5071963,-0.807289815,165,square,Hamster,0,-13.30728981,13.30728981
None,16.36022794,-0.392357576,20,square,Hamster,1,-12.89235758,12.89235758
None,18.12082296,-3.791833069,2084,square,Hamster,2,-16.29183307,16.29183307
None,16.38181928,-0.674693766,6,square,Hamster,3,-13.17469377,13.17469377
Time,17.44933274,-2.814667008,1977,square,Panda,0,-15.31466701,15.31466701
Leader,17.35028258,0.801381412,7,square,Panda,1,-11.69861859,11.69861859
Search,17.58439036,-0.101830333,4,square,Panda,2,-12.60183033,12.60183033
Organize,14.63083453,2.048714956,214,square,Panda,3,-10.45128504,10.45128504
Leader,17.00279222,1.119236968,16,square,Dolphin,0,-11.38076303,11.38076303
Organize,14.9739676,1.844532369,624,square,Dolphin,1,-10.65546763,10.65546763
Time,16.91967004,0.611131679,5,square,Dolphin,2,-11.88886832,11.88886832
Search,18.62727391,2.103307772,13,square,Dolphin,3,-10.39669223,10.39669223
Time,17.87796871,1.075087983,376,square,Penguin,0,-11.42491202,11.42491202
Search,17.69684181,1.101102993,68,square,Penguin,1,-11.39889701,11.39889701
Organize,17.81787424,0.805356978,12,square,Penguin,2,-11.69464302,11.69464302
Leader,15.54846825,1.055819216,813,square,Penguin,3,-11.44418078,11.44418078
None,16.13462294,-0.22110441,375,square,Beaver,0,-12.72110441,12.72110441
None,18.28223879,-0.320745321,19,square,Beaver,1,-12.82074532,12.82074532
None,17.13610734,-1.051589221,1026,square,Beaver,2,-13.55158922,13.55158922
None,17.40932431,0.93537028,351,square,Beaver,3,-11.56462972,11.56462972
None,17.29272743,3.127360821,74,square,Beaver,4,-9.372639179,9.372639179
None,9.779017537,2.633824765,621,square,Parrot,0,-9.866175236,9.866175236
None,14.05279328,1.180990129,189,square,Parrot,1,-11.31900987,11.31900987
None,16.03924793,2.187373776,457,square,Parrot,2,-10.31262622,10.31262622
None,14.11888096,0.045722046,977,square,Parrot,3,-12.45427795,12.45427795
None,16.15930515,-0.939700738,148,square,Hamster,0,-13.43970074,13.43970074
None,16.79620466,-0.595746919,111,square,Hamster,1,-13.09574692,13.09574692
None,18.82336884,-2.57680548,110,square,Hamster,2,-15.07680548,15.07680548
None,16.12168549,-0.227089902,41,square,Hamster,3,-12.7270899,12.7270899
Time,17.2800652,-1.421701742,489,square,Panda,0,-13.92170174,13.92170174
Leader,15.85816835,1.81365367,13,square,Panda,1,-10.68634633,10.68634633
Search,16.64854176,0.780246944,127,square,Panda,2,-11.71975306,11.71975306
Organize,14.22239105,0.180743922,464,square,Panda,3,-12.31925608,12.31925608
Leader,17.22703196,0.768506553,647,square,Dolphin,0,-11.73149345,11.73149345
Organize,12.87801785,0.888970976,2516,square,Dolphin,1,-11.61102902,11.61102902
Time,16.55019768,-0.505172482,7,square,Dolphin,2,-13.00517248,13.00517248
Search,18.55892428,3.687409581,64,square,Dolphin,3,-8.812590419,8.812590419
Time,16.96797024,-0.614388549,1028,square,Penguin,0,-13.11438855,13.11438855
Search,18.81757881,2.258898332,138,square,Penguin,1,-10.24110167,10.24110167
Organize,15.75087536,-0.238050618,0,square,Penguin,2,-12.73805062,12.73805062
Leader,16.19796524,1.535273751,2651,square,Penguin,3,-10.96472625,10.96472625
None,16.60923073,1.577766365,32,square,Beaver,0,-10.92223364,10.92223364
None,18.09971785,0.112878754,212,square,Beaver,1,-12.38712125,12.38712125
None,17.07615489,4.067111673,1488,square,Beaver,2,-8.432888327,8.432888327
None,15.77268047,0.421879962,458,square,Beaver,3,-12.07812004,12.07812004
None,21.2194283,5.967839595,556,square,Beaver,4,-6.532160405,6.532160405
