role,x,y,size,shape,team,position
None,6.772971644,6.572309065,4.73723664,square,Parrot,0
None,8.677379058,7.123048448,2.182660715,square,Parrot,1
None,7.753032007,5.123189719,2.506864372,square,Parrot,2
None,7.380664079,8.501748375,2.919703432,square,Parrot,3
None,7.151700304,7.212535662,1.41911664,square,Hamster,0
None,7.529237142,7.009307715,1.707600679,square,Hamster,1
None,10.65778728,9.139600234,5.037864219,square,Hamster,2
None,7.431723786,7.208552216,1.564999653,square,Hamster,3
Time,8.929272329,7.858735729,2.903486267,square,Panda,0
Leader,6.876556705,4.289038215,0.462235301,square,Panda,1
Search,8.692253485,6.135070479,2.991826479,square,Panda,2
Organize,7.416478876,7.555026316,1.165458071,square,Panda,3
Leader,6.837290029,7.64819159,3.627305245,square,Dolphin,0
Organize,4.61140114,6.213208459,3.301762667,square,Dolphin,1
Time,7.204431783,6.851981469,1.669602523,square,Dolphin,2
Search,9.329035924,5.28336406,2.851832042,square,Dolphin,3
Time,8.166703468,8.439070091,2.772711316,square,Penguin,0
Search,9.244198622,4.900581686,4.007006749,square,Penguin,1
Organize,6.750875364,6.738050618,0.890970431,square,Penguin,2
Leader,5.627045326,6.06541582,0.462493197,square,Penguin,3
None,7.774148001,5.803252572,2.290147988,square,Beaver,0
None,9.216150275,7.276569215,3.324474155,square,Beaver,1
None,8.502347495,3.751820907,5.363752288,square,Beaver,2
None,8.480433486,4.946880941,2.464276572,square,Beaver,3
None,8.095906383,5.162442609,2.481437189,square,Beaver,4
None,6.548621475,4.294170789,4.489126277,square,Parrot,0
None,7.049948995,6.100692431,0.943725252,square,Parrot,1
None,8.82091945,7.22205228,4.041015955,square,Parrot,3
None,7.5071963,7.307289815,2.804445432,square,Hamster,0
None,7.36022794,6.892357576,1.874451355,square,Hamster,1
None,9.120822958,10.29183307,4.964131407,square,Hamster,2
None,7.381819276,7.174693766,1.613837562,square,Hamster,3
Time,8.449332737,9.314667008,2.169893183,square,Panda,0
Leader,8.35028258,5.698618588,1.500502349,square,Panda,1
Search,8.584390363,6.601830333,2.615509043,square,Panda,2
Organize,5.630834534,4.451285045,3.94612387,square,Panda,3
Leader,8.002792223,5.380763032,2.57225151,square,Dolphin,0
Organize,5.973967604,4.655467631,3.772149591,square,Dolphin,1
Time,7.91967004,5.888868321,2.272702952,square,Dolphin,2
Search,9.627273912,4.396692229,3.529533407,square,Dolphin,3
Time,8.87796871,5.424912017,4.962972562,square,Penguin,0
Search,8.696841806,5.398897008,3.751195867,square,Penguin,1
Organize,8.817874238,5.694643022,3.458288414,square,Penguin,2
Leader,6.548468249,5.444180785,0.559369937,square,Penguin,3
None,7.134622935,6.72110441,1.776957858,square,Beaver,0
None,9.282238793,6.820745321,3.509478158,square,Beaver,1
None,8.136107336,7.551589221,2.220283993,square,Beaver,2
None,8.409324309,5.564629721,1.575037095,square,Beaver,3
None,8.292727425,3.372639179,3.446454747,square,Beaver,4
None,0.779017537,3.866175236,9.207481354,square,Parrot,0
None,5.052793282,5.319009871,2.757618071,square,Parrot,1
None,7.039247932,4.312626224,3.594281028,square,Parrot,2
None,5.118880957,6.454277954,5.777736576,square,Parrot,3
None,7.159305146,7.439700739,5.107976286,square,Hamster,0
None,7.796204658,7.095746919,3.915883628,square,Hamster,1
None,9.823368838,9.07680548,5.725738593,square,Hamster,2
None,7.12168549,6.727089902,2.110075996,square,Hamster,3
Time,8.280065202,7.921701742,2.971053422,square,Panda,0
Leader,6.858168346,4.686346331,0.549200889,square,Panda,1
Search,7.648541757,5.719753056,3.757756688,square,Panda,2
Organize,5.222391046,6.319256078,2.683936837,square,Panda,3
Leader,8.227031964,5.731493447,2.062277724,square,Dolphin,0
Organize,3.878017854,5.611029024,3.67439067,square,Dolphin,1
Time,7.550197676,7.005172482,1.418687987,square,Dolphin,2
Search,9.55892428,2.812590419,1.810484009,square,Dolphin,3
Time,7.96797024,7.114388549,3.786548807,square,Penguin,0
Search,9.817578807,4.241101668,4.015141977,square,Penguin,1
Organize,6.750875364,6.738050618,0.890970431,square,Penguin,2
Leader,7.197965235,4.964726249,0.587311796,square,Penguin,3
None,7.609230731,4.922233635,3.074894444,square,Beaver,0
None,9.099717848,6.387121246,4.420152588,square,Beaver,1
None,8.076154892,2.432888327,6.085928861,square,Beaver,2
None,6.772680472,6.078120038,2.047260399,square,Beaver,3
None,12.2194283,0.532160405,4.013058145,square,Beaver,4
