role,x,y,size,shape
None,0.214058114,0.898995419,0.053698927,square
None,0,0.146762523,0.340823748,square
None,0.053514528,0.32796094,0.01667493,square
None,0.841746991,0.048515664,0.349592065,square
None,0.467145292,0,0.196425024,square
None,0,0.048755768,0.001695756,square
None,0.52065982,0.048755768,0.120398648,square
None,0,0.004042972,0.000282626,square
Time,0.306601706,0.085142516,0.186533116,square
Leader,0.413630763,0.032343776,0.003391511,square
Search,0.306601706,0.243538737,0.004804641,square
Organize,0.306601706,0,0.309891229,square
Leader,0.69568887,0.324653291,0.016109678,square
Organize,1.177319626,0.389325833,0.112485121,square
Time,0.053514528,0.235707907,0.007348274,square
Search,0,0.382215315,0.004239389,square
Time,0.574174348,0.056841712,0.351304035,square
Search,0,0.760132544,0.005087267,square
Organize,0,0,0,square
Leader,0.681203405,0.15839622,0.779375798,square
None,0.306601706,0.247341604,0.0152618,square
None,0.306601706,0.219280905,0.195577146,square
None,0.734717934,1.047648755,0.294778848,square
None,0,0.312509365,0.062742957,square
None,0.52065982,0.487317577,0.576274278,square
None,0.053514528,1.069505545,0.056525187,square
None,0.306601706,0.008085944,0.003956763,square
None,0,0.535593137,0.315127916,square
None,0.107029057,0.218560592,0.046915905,square
None,0,0.117486292,0.005935145,square
None,0.895261519,0.174328004,0.589557697,square
None,0,0.024257832,0.001695756,square
Time,0.306601706,0.016171888,0.55875147,square
Leader,0,0.158891439,0.001978382,square
Search,0.306601706,0.117726396,0.001695756,square
Organize,1.269863219,0.587191357,0.647580639,square
Leader,0.306601706,0.328681253,0.005935145,square
Organize,0.895261519,0.675416428,1.06554389,square
Time,0,0.422885139,0.002826259,square
Search,0,0.60149622,0.005935145,square
Time,0.413630763,0.729895897,0.111022185,square
Search,0,0.70257052,0.136462007,square
Organize,0,0.593410276,0.005652519,square
Leader,0.306601706,0.182654052,0.41636362,square
None,0.413630763,0.105117272,0.105984725,square
None,0.306601706,0.19882594,0.006217771,square
None,0.360116235,0.109640452,0.290539459,square
None,0.306601706,0.028300804,0.099201703,square
None,0.413630763,0.612169501,0.022892701,square
None,0.909746984,2.576588695,0.184355507,square
None,0.160543585,0.703957336,0.065037557,square
None,0,0.809554817,0.152402562,square
None,0.963261512,0.979839849,0.288877296,square
None,0.428116228,0.732993463,0.041828638,square
None,0.107029057,0.587686575,0.031654105,square
None,0.107029057,0.327480732,0.031088853,square
None,0,0.21451762,0.011870289,square
Time,0.574174348,0.028300804,0.138204081,square
Leader,0,0.097271432,0.003956763,square
Search,0.306601706,0.578865308,0.036741371,square
Organize,1.109319633,0.287291116,0.131421059,square
Leader,0.574174348,0.068730524,1.257502519,square
Organize,2.500697373,0.372673736,2.485317687,square
Time,0,0.146762523,0.001978382,square
Search,0.467145292,0.077056572,1.499875155,square
Time,0.895261519,0.25947052,0.702670667,square
Search,0,0.660700175,1.810739391,square
Organize,0,0,0,square
Leader,1.055805105,0,3.27885495,square
None,0.52065982,0.450450621,0.011022411,square
None,0,0.543679081,0.062177705,square
None,1.751493975,0.908747082,2.639844627,square
None,0.428116228,0.137461048,0.129442677,square
None,0.52065982,0.474708453,3.077903324,square
