role,x,y,size,shape
None,15.77297164,12.57230906,3.26276336,square
None,17.67737906,13.12304845,5.81733928,square
None,16.75303201,11.12318972,5.49313563,square
None,16.38066408,14.50174837,5.08029657,square
None,16.1517003,13.21253566,6.58088336,square
None,16.52923714,13.00930771,6.29239932,square
None,19.65778728,15.13960023,2.96213578,square
None,16.43172379,13.20855222,6.43500035,square
Time,17.92927233,13.85873573,5.09651373,square
Leader,15.87655671,10.28903822,7.5377647,square
Search,17.69225349,12.13507048,5.00817352,square
Organize,16.41647888,13.55502632,6.83454193,square
Leader,15.83729003,13.64819159,4.37269475,square
Organize,13.61140114,12.21320846,4.69823733,square
Time,16.20443178,12.85198147,6.33039748,square
Search,18.32903592,11.28336406,5.14816796,square
Time,17.16670347,14.43907009,5.22728868,square
Search,18.24419862,10.90058169,3.99299325,square
Organize,15.75087536,12.73805062,7.10902957,square
Leader,14.62704533,12.06541582,7.5375068,square
None,16.774148,11.80325257,5.70985201,square
None,18.21615028,13.27656922,4.67552584,square
None,17.5023475,9.751820907,2.63624771,square
None,17.48043349,10.94688094,5.53572343,square
None,17.09590638,11.16244261,5.51856281,square
None,15.54862148,10.29417079,3.51087372,square
None,16.049949,12.10069243,7.05627475,square
None,17.82091945,13.22205228,3.95898404,square
None,16.5071963,13.30728981,5.19555457,square
None,16.36022794,12.89235758,6.12554865,square
None,18.12082296,16.29183307,3.03586859,square
None,16.38181928,13.17469377,6.38616244,square
Time,17.44933274,15.31466701,5.83010682,square
Leader,17.35028258,11.69861859,6.49949765,square
Search,17.58439036,12.60183033,5.38449096,square
Organize,14.63083453,10.45128504,4.05387613,square
Leader,17.00279222,11.38076303,5.42774849,square
Organize,14.9739676,10.65546763,4.22785041,square
Time,16.91967004,11.88886832,5.72729705,square
Search,18.62727391,10.39669223,4.47046659,square
Time,17.87796871,11.42491202,3.03702744,square
Search,17.69684181,11.39889701,4.24880413,square
Organize,17.81787424,11.69464302,4.54171159,square
Leader,15.54846825,11.44418078,7.44063006,square
None,16.13462294,12.72110441,6.22304214,square
None,18.28223879,12.82074532,4.49052184,square
None,17.13610734,13.55158922,5.77971601,square
None,17.40932431,11.56462972,6.4249629,square
None,17.29272743,9.372639179,4.55354525,square
None,9.779017537,9.866175236,-1.20748135,square
None,14.05279328,11.31900987,5.24238193,square
None,16.03924793,10.31262622,4.40571897,square
None,14.11888096,12.45427795,2.22226342,square
None,16.15930515,13.43970074,2.89202371,square
None,16.79620466,13.09574692,4.08411637,square
None,18.82336884,15.07680548,2.27426141,square
None,16.12168549,12.7270899,5.889924,square
Time,17.2800652,13.92170174,5.02894658,square
Leader,15.85816835,10.68634633,7.45079911,square
Search,16.64854176,11.71975306,4.24224331,square
Organize,14.22239105,12.31925608,5.31606316,square
Leader,17.22703196,11.73149345,5.93772228,square
Organize,12.87801785,11.61102902,4.32560933,square
Time,16.55019768,13.00517248,6.58131201,square
Search,18.55892428,8.812590419,6.18951599,square
Time,16.96797024,13.11438855,4.21345119,square
Search,18.81757881,10.24110167,3.98485802,square
Organize,15.75087536,12.73805062,7.10902957,square
Leader,16.19796524,10.96472625,7.4126882,square
None,16.60923073,10.92223364,4.92510556,square
None,18.09971785,12.38712125,3.57984741,square
None,17.07615489,8.432888327,1.91407114,square
None,15.77268047,12.07812004,5.9527396,square
None,21.2194283,6.532160405,3.98694185,square
