role,x,y,size,shape
None,15.77297164,12.57230906,19.73723664,square
None,17.67737906,13.12304845,17.18266072,square
None,16.75303201,11.12318972,17.50686437,square
None,16.38066408,14.50174837,17.91970343,square
None,16.1517003,13.21253566,16.41911664,square
None,16.52923714,13.00930771,16.70760068,square
None,19.65778728,15.13960023,20.03786422,square
None,16.43172379,13.20855222,16.56499965,square
Time,17.92927233,13.85873573,17.90348627,square
Leader,15.87655671,10.28903822,15.4622353,square
Search,17.69225349,12.13507048,17.99182648,square
Organize,16.41647888,13.55502632,16.16545807,square
Leader,15.83729003,13.64819159,18.62730525,square
Organize,13.61140114,12.21320846,18.30176267,square
Time,16.20443178,12.85198147,16.66960252,square
Search,18.32903592,11.28336406,17.85183204,square
Time,17.16670347,14.43907009,17.77271132,square
Search,18.24419862,10.90058169,19.00700675,square
Organize,15.75087536,12.73805062,15.89097043,square
Leader,14.62704533,12.06541582,15.4624932,square
None,16.774148,11.80325257,17.29014799,square
None,18.21615028,13.27656922,18.32447416,square
None,17.5023475,9.751820907,20.36375229,square
None,17.48043349,10.94688094,17.46427657,square
None,17.09590638,11.16244261,17.48143719,square
None,15.54862148,10.29417079,19.48912628,square
None,16.049949,12.10069243,15.94372525,square
None,17.82091945,13.22205228,19.04101596,square
None,16.5071963,13.30728981,17.80444543,square
None,16.36022794,12.89235758,16.87445135,square
None,18.12082296,16.29183307,19.96413141,square
None,16.38181928,13.17469377,16.61383756,square
Time,17.44933274,15.31466701,17.16989318,square
Leader,17.35028258,11.69861859,16.50050235,square
Search,17.58439036,12.60183033,17.61550904,square
Organize,14.63083453,10.45128504,18.94612387,square
Leader,17.00279222,11.38076303,17.57225151,square
Organize,14.9739676,10.65546763,18.77214959,square
Time,16.91967004,11.88886832,17.27270295,square
Search,18.62727391,10.39669223,18.52953341,square
Time,17.87796871,11.42491202,19.96297256,square
Search,17.69684181,11.39889701,18.75119587,square
Organize,17.81787424,11.69464302,18.45828841,square
Leader,15.54846825,11.44418078,15.55936994,square
None,16.13462294,12.72110441,16.77695786,square
None,18.28223879,12.82074532,18.50947816,square
None,17.13610734,13.55158922,17.22028399,square
None,17.40932431,11.56462972,16.5750371,square
None,17.29272743,9.372639179,18.44645475,square
None,9.779017537,9.866175236,24.20748135,square
None,14.05279328,11.31900987,17.75761807,square
None,16.03924793,10.31262622,18.59428103,square
None,14.11888096,12.45427795,20.77773658,square
None,16.15930515,13.43970074,20.10797629,square
None,16.79620466,13.09574692,18.91588363,square
None,18.82336884,15.07680548,20.72573859,square
None,16.12168549,12.7270899,17.110076,square
Time,17.2800652,13.92170174,17.97105342,square
Leader,15.85816835,10.68634633,15.54920089,square
Search,16.64854176,11.71975306,18.75775669,square
Organize,14.22239105,12.31925608,17.68393684,square
Leader,17.22703196,11.73149345,17.06227772,square
Organize,12.87801785,11.61102902,18.67439067,square
Time,16.55019768,13.00517248,16.41868799,square
Search,18.55892428,8.812590419,16.81048401,square
Time,16.96797024,13.11438855,18.78654881,square
Search,18.81757881,10.24110167,19.01514198,square
Organize,15.75087536,12.73805062,15.89097043,square
Leader,16.19796524,10.96472625,15.5873118,square
None,16.60923073,10.92223364,18.07489444,square
None,18.09971785,12.38712125,19.42015259,square
None,17.07615489,8.432888327,21.08592886,square
None,15.77268047,12.07812004,17.0472604,square
None,21.2194283,6.532160405,19.01305815,square
